# generated by scripts/accessor-census.py from raw/spike-GERWARIC_7694-2026-09-13.db, raw/cpp-userstore-GERWARIC_7694-2026-09-13.db, ../trade-query/data/items-2026-09-12.json
filter,reads,absent_rule,items_present,items_parsed_nonzero,items_present_but_zero,example_parsed,example_zeroed
Crit.,Critical Strike Chance,skip,3269,0,3269,,8.00%
APS,Attacks per Second,skip,2007,2007,0,1.25,
Armour,Armour,skip,1721,1721,0,2172,
Evasion,Evasion Rating,skip,1720,1720,0,972,
Shield,Energy Shield,skip,1917,1917,0,25,
Block,Chance to Block,skip,490,0,490,,23%
Quality,Quality,zero,4862,4862,0,20,
Level,Level,skip,7021,7021,0,20,
Map Tier,Map Tier,skip,0,0,0,,
R. Level,requirements[Level],zero,19337,19337,0,67,
R. Str,requirements[Str],zero,5046,5046,0,159,
R. Dex,requirements[Dex],zero,5347,5347,0,154,
R. Int,requirements[Int],zero,6866,6866,0,131,
pDPS,Physical Damage x APS,zero,1952,1952,0,59-88 x 1.25,
cDPS,Chaos Damage x APS,zero,42,42,0,178-338 x 1.35,
eDPS,Elemental Damage x APS,zero,534,534,0,3-65,
Sockets,sockets.length,zero,5918,5918,0,,
Links,longest consecutive group run,zero,5918,5894,24,1:1814;2:2148;3:976;4:646;5:101;6:233,sockets without attr/sColour (PoE2)
ilvl,ilvl,field,36139,25771,10368,,
