# generated by scripts/identity-coverage.py from raw/corpus.jsonl and ../repoe/data/template-vs-translation.csv
row,array,template,lines,with_stat_id,without_stat_id,without_equipment,without_gem,without_other
array,explicitMods,,109921,71639,38282,5290,23796,9196
array,implicitMods,,8712,8142,570,569,0,1
array,utilityMods,,3225,2661,564,564,0,0
array,enchantMods,,2897,1615,1282,1282,0,0
array,crucibleMods,,146,125,21,21,0,0
array,veiledMods,,68,0,68,68,0,0
array,scourgeMods,,28,28,0,0,0,0
array,bondedMods,,6,2,4,0,0,4
array,runeMods,,3,1,2,2,0,0
unaddressable,explicitMods,Base duration is # seconds,1668,0,1668,,,
unaddressable,explicitMods,,858,0,858,,,
unaddressable,explicitMods,# metres to radius,805,0,805,,,
unaddressable,explicitMods,Base radius is # metres,585,0,585,,,
unaddressable,explicitMods,Modifiers to Spell Damage apply to this Skill's Damage Over Time effect,322,0,322,,,
unaddressable,explicitMods,Deals # to # Cold Damage,300,0,300,,,
unaddressable,explicitMods,Deals # to # Fire Damage,299,0,299,,,
unaddressable,explicitMods,Deals # to # Physical Damage,288,0,288,,,
unaddressable,explicitMods,Deals # to # Lightning Damage,267,0,267,,,
unaddressable,explicitMods,Fires # Projectiles,257,0,257,,,
