# generated by bench/src/main.rs (cargo run --release) from raw/corpus.jsonl (53569958 bytes) and ../repoe/data/template-vs-translation.csv
what,items,lines,lines_without_stat_id,load_or_build_ms,resident_bytes,file_bytes,templates,stat_ids,skipped
x1,36139,125006,40793,202,10982951,,6513,2939,0
sqlite-template-x1,36139,125006,,162,,24911872,,,
projection-load-x1,36139,125006,,38,13650411,,,,
sqlite-stat-x1,36139,84213,,117,,15863808,,,
x10,361390,1250060,407930,1918,96894800,,6513,2939,0
sqlite-template-x10,361390,1250060,,1877,,253739008,,,
projection-load-x10,361390,1250060,,373,113108468,,,,
sqlite-stat-x10,361390,842130,,1366,,162639872,,,
x30,1084170,3750180,1223790,5884,288532800,,6513,2939,0
sqlite-template-x30,1084170,3750180,,5687,,764694528,,,
projection-load-x30,1084170,3750180,,1142,392404324,,,,
sqlite-stat-x30,1084170,2526390,,4209,,489926656,,,
