# generated by bench/src/main.rs (cargo run --release) from raw/corpus.jsonl and ../repoe/data/template-vs-translation.csv
query,engine,identity,scale,items,cold_ms,warm_ms_median,rows
q01-mod-value,scan,template,x1,36139,0.234,0.167,751
q02-mod-exists,scan,template,x1,36139,0.222,0.193,2775
q03-name-substring,scan,template,x1,36139,1.330,1.284,394
q04-base-with-mod,scan,template,x1,36139,0.041,0.030,46
q05-rarity-ilvl,scan,template,x1,36139,0.058,0.031,2204
q06-one-tab,scan,template,x1,36139,0.020,0.020,848
q07-count-per-tab,scan,template,x1,36139,0.173,0.188,344
q08-count-group,scan,template,x1,36139,0.321,0.233,626
q09-weight-sum,scan,template,x1,36139,0.273,0.242,528
q10-boolean-or,scan,template,x1,36139,0.046,0.034,35956
q11-cpp-mods-two-rows,scan,template,x1,36139,0.248,0.163,397
q12-leveling-set,scan,template,x1,36139,0.053,0.027,3880
q01-mod-value,sqlite,template,x1,36139,0.723,0.405,751
q01-mod-value,sqlite-count,template,x1,36139,0.559,0.399,751
q02-mod-exists,sqlite,template,x1,36139,1.811,1.481,2775
q02-mod-exists,sqlite-count,template,x1,36139,1.631,1.450,2775
q03-name-substring,sqlite,template,x1,36139,2.766,2.346,394
q03-name-substring,sqlite-count,template,x1,36139,2.484,2.308,394
q04-base-with-mod,sqlite,template,x1,36139,0.492,0.161,46
q04-base-with-mod,sqlite-count,template,x1,36139,0.406,0.160,46
q05-rarity-ilvl,sqlite,template,x1,36139,1.701,1.488,2204
q05-rarity-ilvl,sqlite-count,template,x1,36139,1.589,1.434,2204
q06-one-tab,sqlite,template,x1,36139,0.126,0.026,848
q06-one-tab,sqlite-count,template,x1,36139,0.109,0.015,848
q07-count-per-tab,sqlite,template,x1,36139,1.045,0.804,344
q07-count-per-tab,sqlite-count,template,x1,36139,1.015,0.798,344
q08-count-group,sqlite,template,x1,36139,2.807,2.198,626
q08-count-group,sqlite-count,template,x1,36139,2.320,2.149,626
q09-weight-sum,sqlite,template,x1,36139,3.563,3.202,528
q09-weight-sum,sqlite-count,template,x1,36139,3.394,3.184,528
q10-boolean-or,sqlite,template,x1,36139,2.397,2.045,35956
q10-boolean-or,sqlite-count,template,x1,36139,1.715,1.590,35956
q11-cpp-mods-two-rows,sqlite,template,x1,36139,1.971,1.619,397
q11-cpp-mods-two-rows,sqlite-count,template,x1,36139,1.798,1.591,397
q12-leveling-set,sqlite,template,x1,36139,2.469,2.169,3880
q12-leveling-set,sqlite-count,template,x1,36139,2.252,2.065,3880
q01-mod-value,scan,stat,x1,36139,0.284,0.161,751
q02-mod-exists,scan,stat,x1,36139,0.222,0.194,2775
q03-name-substring,scan,stat,x1,36139,1.330,1.249,394
q04-base-with-mod,scan,stat,x1,36139,0.052,0.027,46
q05-rarity-ilvl,scan,stat,x1,36139,0.053,0.028,2204
q06-one-tab,scan,stat,x1,36139,0.021,0.020,848
q07-count-per-tab,scan,stat,x1,36139,0.239,0.243,344
q08-count-group,scan,stat,x1,36139,0.303,0.233,626
q09-weight-sum,scan,stat,x1,36139,0.273,0.243,528
q10-boolean-or,scan,stat,x1,36139,0.035,0.033,35956
q11-cpp-mods-two-rows,scan,stat,x1,36139,0.247,0.163,397
q12-leveling-set,scan,stat,x1,36139,0.054,0.027,3880
q01-mod-value,sqlite,stat,x1,36139,1.552,0.212,751
q01-mod-value,sqlite-count,stat,x1,36139,0.496,0.201,751
q02-mod-exists,sqlite,stat,x1,36139,1.409,1.090,2775
q02-mod-exists,sqlite-count,stat,x1,36139,1.308,1.074,2775
q03-name-substring,sqlite,stat,x1,36139,2.613,2.330,394
q03-name-substring,sqlite-count,stat,x1,36139,2.419,2.264,394
q04-base-with-mod,sqlite,stat,x1,36139,0.429,0.138,46
q04-base-with-mod,sqlite-count,stat,x1,36139,0.342,0.143,46
q05-rarity-ilvl,sqlite,stat,x1,36139,1.706,1.447,2204
q05-rarity-ilvl,sqlite-count,stat,x1,36139,1.555,1.409,2204
q06-one-tab,sqlite,stat,x1,36139,0.120,0.026,848
q06-one-tab,sqlite-count,stat,x1,36139,0.103,0.014,848
q07-count-per-tab,sqlite,stat,x1,36139,1.058,0.798,344
q07-count-per-tab,sqlite-count,stat,x1,36139,0.988,0.797,344
q08-count-group,sqlite,stat,x1,36139,2.183,1.666,626
q08-count-group,sqlite-count,stat,x1,36139,1.874,1.625,626
q09-weight-sum,sqlite,stat,x1,36139,2.815,2.461,528
q09-weight-sum,sqlite-count,stat,x1,36139,2.677,2.437,528
q10-boolean-or,sqlite,stat,x1,36139,2.250,1.985,35956
q10-boolean-or,sqlite-count,stat,x1,36139,1.665,1.539,35956
q11-cpp-mods-two-rows,sqlite,stat,x1,36139,1.555,1.194,397
q11-cpp-mods-two-rows,sqlite-count,stat,x1,36139,1.406,1.176,397
q12-leveling-set,sqlite,stat,x1,36139,2.325,2.087,3880
q12-leveling-set,sqlite-count,stat,x1,36139,2.180,2.009,3880
q01-mod-value,scan,template,x10,361390,1.879,1.381,7510
q02-mod-exists,scan,template,x10,361390,2.025,1.247,27750
q03-name-substring,scan,template,x10,361390,13.659,13.301,3940
q04-base-with-mod,scan,template,x10,361390,0.645,0.515,460
q05-rarity-ilvl,scan,template,x10,361390,0.481,0.478,22040
q06-one-tab,scan,template,x10,361390,0.507,0.513,8480
q07-count-per-tab,scan,template,x10,361390,3.089,3.116,344
q08-count-group,scan,template,x10,361390,3.009,2.285,6260
q09-weight-sum,scan,template,x10,361390,2.792,2.697,5280
q10-boolean-or,scan,template,x10,361390,0.601,0.515,359560
q11-cpp-mods-two-rows,scan,template,x10,361390,2.132,1.572,3970
q12-leveling-set,scan,template,x10,361390,0.511,0.493,38800
q01-mod-value,sqlite,template,x10,361390,8.261,7.243,7510
q01-mod-value,sqlite-count,template,x10,361390,7.219,7.101,7510
q02-mod-exists,sqlite,template,x10,361390,28.064,27.829,27750
q02-mod-exists,sqlite-count,template,x10,361390,27.707,28.057,27750
q03-name-substring,sqlite,template,x10,361390,27.088,27.336,3940
q03-name-substring,sqlite-count,template,x10,361390,27.258,26.460,3940
q04-base-with-mod,sqlite,template,x10,361390,3.650,3.165,460
q04-base-with-mod,sqlite-count,template,x10,361390,3.215,2.960,460
q05-rarity-ilvl,sqlite,template,x10,361390,20.528,20.196,22040
q05-rarity-ilvl,sqlite-count,template,x10,361390,19.660,19.524,22040
q06-one-tab,sqlite,template,x10,361390,0.373,0.217,8480
q06-one-tab,sqlite-count,template,x10,361390,0.220,0.108,8480
q07-count-per-tab,sqlite,template,x10,361390,9.133,8.775,344
q07-count-per-tab,sqlite-count,template,x10,361390,9.113,8.741,344
q08-count-group,sqlite,template,x10,361390,36.098,34.929,6260
q08-count-group,sqlite-count,template,x10,361390,34.281,34.557,6260
q09-weight-sum,sqlite,template,x10,361390,58.492,56.941,5280
q09-weight-sum,sqlite-count,template,x10,361390,57.567,57.465,5280
q10-boolean-or,sqlite,template,x10,361390,23.753,23.720,359560
q10-boolean-or,sqlite-count,template,x10,361390,19.547,18.945,359560
q11-cpp-mods-two-rows,sqlite,template,x10,361390,30.894,28.729,3970
q11-cpp-mods-two-rows,sqlite-count,template,x10,361390,28.688,29.222,3970
q12-leveling-set,sqlite,template,x10,361390,40.949,39.680,38800
q12-leveling-set,sqlite-count,template,x10,361390,38.620,38.354,38800
q01-mod-value,scan,stat,x10,361390,2.137,1.403,7510
q02-mod-exists,scan,stat,x10,361390,1.938,1.266,27750
q03-name-substring,scan,stat,x10,361390,13.830,13.466,3940
q04-base-with-mod,scan,stat,x10,361390,0.687,0.564,460
q05-rarity-ilvl,scan,stat,x10,361390,0.483,0.466,22040
q06-one-tab,scan,stat,x10,361390,0.503,0.511,8480
q07-count-per-tab,scan,stat,x10,361390,3.304,2.719,344
q08-count-group,scan,stat,x10,361390,2.980,2.280,6260
q09-weight-sum,scan,stat,x10,361390,2.771,2.742,5280
q10-boolean-or,scan,stat,x10,361390,0.502,0.504,359560
q11-cpp-mods-two-rows,scan,stat,x10,361390,2.149,1.572,3970
q12-leveling-set,scan,stat,x10,361390,0.500,0.487,38800
q01-mod-value,sqlite,stat,x10,361390,8.669,6.867,7510
q01-mod-value,sqlite-count,stat,x10,361390,6.671,6.546,7510
q02-mod-exists,sqlite,stat,x10,361390,26.996,26.149,27750
q02-mod-exists,sqlite-count,stat,x10,361390,25.958,25.726,27750
q03-name-substring,sqlite,stat,x10,361390,25.192,25.848,3940
q03-name-substring,sqlite-count,stat,x10,361390,26.190,25.847,3940
q04-base-with-mod,sqlite,stat,x10,361390,3.620,2.732,460
q04-base-with-mod,sqlite-count,stat,x10,361390,2.880,2.685,460
q05-rarity-ilvl,sqlite,stat,x10,361390,20.673,19.476,22040
q05-rarity-ilvl,sqlite-count,stat,x10,361390,19.517,18.903,22040
q06-one-tab,sqlite,stat,x10,361390,0.369,0.214,8480
q06-one-tab,sqlite-count,stat,x10,361390,0.226,0.109,8480
q07-count-per-tab,sqlite,stat,x10,361390,17.615,8.860,344
q07-count-per-tab,sqlite-count,stat,x10,361390,9.254,8.720,344
q08-count-group,sqlite,stat,x10,361390,34.173,32.930,6260
q08-count-group,sqlite-count,stat,x10,361390,33.063,32.703,6260
q09-weight-sum,sqlite,stat,x10,361390,53.985,53.070,5280
q09-weight-sum,sqlite-count,stat,x10,361390,54.476,53.397,5280
q10-boolean-or,sqlite,stat,x10,361390,23.025,22.979,359560
q10-boolean-or,sqlite-count,stat,x10,361390,18.690,17.924,359560
q11-cpp-mods-two-rows,sqlite,stat,x10,361390,28.201,28.862,3970
q11-cpp-mods-two-rows,sqlite-count,stat,x10,361390,27.407,26.724,3970
q12-leveling-set,sqlite,stat,x10,361390,40.348,39.249,38800
q12-leveling-set,sqlite-count,stat,x10,361390,39.694,38.145,38800
q01-mod-value,scan,template,x30,1084170,5.107,4.605,22530
q02-mod-exists,scan,template,x30,1084170,4.962,4.341,83250
q03-name-substring,scan,template,x30,1084170,40.844,40.806,11820
q04-base-with-mod,scan,template,x30,1084170,2.093,1.843,1380
q05-rarity-ilvl,scan,template,x30,1084170,1.604,1.592,66120
q06-one-tab,scan,template,x30,1084170,1.594,1.571,25440
q07-count-per-tab,scan,template,x30,1084170,10.054,9.853,344
q08-count-group,scan,template,x30,1084170,7.864,6.827,18780
q09-weight-sum,scan,template,x30,1084170,8.358,8.208,15840
q10-boolean-or,scan,template,x30,1084170,2.066,1.966,1078680
q11-cpp-mods-two-rows,scan,template,x30,1084170,5.962,4.768,11910
q12-leveling-set,scan,template,x30,1084170,1.609,1.596,116400
q01-mod-value,sqlite,template,x30,1084170,28.094,26.579,22530
q01-mod-value,sqlite-count,template,x30,1084170,26.353,26.086,22530
q02-mod-exists,sqlite,template,x30,1084170,101.901,101.699,83250
q02-mod-exists,sqlite-count,template,x30,1084170,104.022,100.804,83250
q03-name-substring,sqlite,template,x30,1084170,81.740,82.719,11820
q03-name-substring,sqlite-count,template,x30,1084170,82.304,82.785,11820
q04-base-with-mod,sqlite,template,x30,1084170,11.281,10.576,1380
q04-base-with-mod,sqlite-count,template,x30,1084170,10.656,10.768,1380
q05-rarity-ilvl,sqlite,template,x30,1084170,65.514,65.641,66120
q05-rarity-ilvl,sqlite-count,template,x30,1084170,64.404,64.453,66120
q06-one-tab,sqlite,template,x30,1084170,0.857,0.659,25440
q06-one-tab,sqlite-count,template,x30,1084170,0.467,0.317,25440
q07-count-per-tab,sqlite,template,x30,1084170,26.903,26.851,344
q07-count-per-tab,sqlite-count,template,x30,1084170,27.066,26.707,344
q08-count-group,sqlite,template,x30,1084170,130.006,129.647,18780
q08-count-group,sqlite-count,template,x30,1084170,136.970,129.306,18780
q09-weight-sum,sqlite,template,x30,1084170,203.691,202.708,15840
q09-weight-sum,sqlite-count,template,x30,1084170,200.466,205.268,15840
q10-boolean-or,sqlite,template,x30,1084170,71.911,71.120,1078680
q10-boolean-or,sqlite-count,template,x30,1084170,57.796,57.584,1078680
q11-cpp-mods-two-rows,sqlite,template,x30,1084170,105.419,104.459,11910
q11-cpp-mods-two-rows,sqlite-count,template,x30,1084170,104.438,103.713,11910
q12-leveling-set,sqlite,template,x30,1084170,136.728,135.651,116400
q12-leveling-set,sqlite-count,template,x30,1084170,132.850,132.626,116400
q01-mod-value,scan,stat,x30,1084170,5.345,4.723,22530
q02-mod-exists,scan,stat,x30,1084170,5.006,4.368,83250
q03-name-substring,scan,stat,x30,1084170,41.503,39.975,11820
q04-base-with-mod,scan,stat,x30,1084170,2.075,1.914,1380
q05-rarity-ilvl,scan,stat,x30,1084170,1.622,1.615,66120
q06-one-tab,scan,stat,x30,1084170,1.584,1.592,25440
q07-count-per-tab,scan,stat,x30,1084170,9.100,10.160,344
q08-count-group,scan,stat,x30,1084170,8.514,7.904,18780
q09-weight-sum,scan,stat,x30,1084170,6.984,6.118,15840
q10-boolean-or,scan,stat,x30,1084170,2.041,2.008,1078680
q11-cpp-mods-two-rows,scan,stat,x30,1084170,5.673,4.964,11910
q12-leveling-set,scan,stat,x30,1084170,1.681,1.669,116400
q01-mod-value,sqlite,stat,x30,1084170,25.732,24.454,22530
q01-mod-value,sqlite-count,stat,x30,1084170,24.469,24.234,22530
q02-mod-exists,sqlite,stat,x30,1084170,97.110,95.713,83250
q02-mod-exists,sqlite-count,stat,x30,1084170,92.699,93.648,83250
q03-name-substring,sqlite,stat,x30,1084170,79.210,79.748,11820
q03-name-substring,sqlite-count,stat,x30,1084170,79.750,79.075,11820
q04-base-with-mod,sqlite,stat,x30,1084170,10.187,9.440,1380
q04-base-with-mod,sqlite-count,stat,x30,1084170,9.581,9.465,1380
q05-rarity-ilvl,sqlite,stat,x30,1084170,63.540,63.196,66120
q05-rarity-ilvl,sqlite-count,stat,x30,1084170,62.377,63.075,66120
q06-one-tab,sqlite,stat,x30,1084170,0.862,0.659,25440
q06-one-tab,sqlite-count,stat,x30,1084170,0.457,0.314,25440
q07-count-per-tab,sqlite,stat,x30,1084170,27.505,26.946,344
q07-count-per-tab,sqlite-count,stat,x30,1084170,28.009,26.784,344
q08-count-group,sqlite,stat,x30,1084170,121.745,121.390,18780
q08-count-group,sqlite-count,stat,x30,1084170,119.969,121.233,18780
q09-weight-sum,sqlite,stat,x30,1084170,191.933,187.919,15840
q09-weight-sum,sqlite-count,stat,x30,1084170,190.122,190.779,15840
q10-boolean-or,sqlite,stat,x30,1084170,68.523,68.667,1078680
q10-boolean-or,sqlite-count,stat,x30,1084170,55.606,55.498,1078680
q11-cpp-mods-two-rows,sqlite,stat,x30,1084170,100.307,97.857,11910
q11-cpp-mods-two-rows,sqlite-count,stat,x30,1084170,98.445,97.540,11910
q12-leveling-set,sqlite,stat,x30,1084170,130.353,130.095,116400
q12-leveling-set,sqlite-count,stat,x30,1084170,128.978,128.901,116400
