# generated by scripts/census.py from raw/spike-GERWARIC_7694-2026-09-13.db, raw/cpp-userstore-GERWARIC_7694-2026-09-13.db, ../trade-query/data/items-2026-09-12.json
frameTypeId,icon_dir,trade_category_by_baseType,items,example
Currency,Maps/UltimatumTrialBase,map,554, / Inscribed Ultimatum
Currency,Currency/Essence,currency,326, / Screaming Essence of Spite
Currency,Currency/Sanctum,sanctum,244, / Forbidden Tome
Currency,Currency/Scarabs,currency,165, / Veiled Scarab
Currency,Currency/Incubation,currency,105, / Foreboding Incubator
Currency,Currency/Azmeri,currency,86, / Omen of Amelioration
Currency,Currency/Delve,currency,70, / Pristine Fossil
Currency,Currency/Oils,currency,57, / Verdant Oil
Currency,Currency/Chayula,wombgift,50, / Ancient Wombgift
Currency,Currency/Ancestors,currency,44, / Tattoo of the Tukohama Shaman
Currency,Currency/CurrencyIdentification,currency,38, / Scroll of Wisdom
Currency,Currency/CurrencyPortal,currency,33, / Portal Scroll
Currency,Currency/Catalysts,currency,32, / Tainted Catalyst
Currency,Currency/Delirium,currency,32, / Jeweller's Delirium Orb
Currency,Currency/Atlas,currency,21, / Templar Astrolabe
Currency,Currency/Breach,currency,20, / Splinter of Tul
Currency,Currency/ScoutingReport,currency,20, / Influenced Scouting Report
Currency,Currency/Harvest,currency,19, / Vivid Crystallised Lifeforce
Currency,Currency/Heist,currency,13, / Rogue's Marker
Currency,Currency/Deepwater,currency,11, / Brinehook's Ducat
Currency,Currency/Hellscape,currency,11, / Tainted Chaos Orb
Currency,Currency/CurrencyRerollSocketLinks,currency,9, / Orb of Fusing
Currency,Currency/CurrencyUpgradeRandomly,currency,9, / Orb of Chance
Currency,Currency/CurrencyRerollSocketColours,currency,8, / Chromatic Orb
Currency,Currency/CurrencyRerollSocketNumbers,currency,8, / Jeweller's Orb
Currency,Currency/CurrencyUpgradeToMagic,currency,8, / Orb of Transmutation
Currency,Currency/CurrencyAddModToMagic,currency,7, / Orb of Augmentation
Currency,Currency/CurrencyRerollMagic,currency,7, / Orb of Alteration
Currency,Currency/CurrencyRerollRare,currency,7, / Chaos Orb
Currency,Currency/CurrencyVaal,currency,7, / Vaal Orb
Currency,Currency/Settlers,currency,7, / Runegraft of Blasphemy
Currency,Currency/CurrencyIdentificationFragment,currency,6, / Scroll Fragment
Currency,Currency/CurrencyRerollMagicShard,currency,6, / Alteration Shard
Currency,Currency/CurrencyWeaponQuality,currency,6, / Blacksmith's Whetstone
Currency,Currency/Expedition,currency,6, / Instilling Orb
Currency,Currency/SecretsoftheAtlas,currency,6, / Orb of Unravelling
Currency,Currency/AnnullOrb,currency,5, / Orb of Annulment
Currency,Currency/BindingOrb,currency,5, / Orb of Binding
Currency,Currency/CurrencyArmourQuality,currency,5, / Armourer's Scrap
Currency,Currency/CurrencyImplicitMod,currency,5, / Blessed Orb
Currency,Currency/CurrencyUpgradeToMagicShard,currency,5, / Transmutation Shard
Currency,Currency/CurrencyUpgradeToRareShard,currency,5, / Alchemy Shard
Currency,Currency/Influence Exalts,currency,5, / Hunter's Exalted Orb
Currency,Currency/Ritual,currency,5, / Ritual Vessel
Currency,Currency/ChaosShard,currency,4, / Chaos Shard
Currency,Currency/CurrencyAddModToRare,currency,4, / Exalted Orb
Currency,Currency/CurrencyConvertToNormal,currency,4, / Orb of Scouring
Currency,Currency/CurrencyFlaskQuality,currency,4, / Glassblower's Bauble
Currency,Currency/CurrencyGemQuality,currency,4, / Gemcutter's Prism
Currency,Currency/CurrencyPassiveSkillRefund,currency,4, / Orb of Regret
Currency,Currency/CurrencyUpgradeMagicToRare,currency,4, / Regal Orb
Currency,Currency/CurrencyUpgradeToRare,currency,4, / Orb of Alchemy
Currency,Currency/ValdosPuzzleBox,currency,4, / Valdo's Puzzle Box
Currency,Maps/DeliriumSplinter,currency,4, / Simulacrum Splinter
Currency,Maps/EternalEmpireShard,currency,4, / Timeless Eternal Empire Splinter
Currency,Maps/KaruiShard,currency,4, / Timeless Karui Splinter
Currency,Maps/TemplarShard,currency,4, / Timeless Templar Splinter
Currency,Maps/VaalShard,currency,4, / Timeless Vaal Splinter
Currency,Currency/AncientOrb,currency,3, / Ancient Orb
Currency,Currency/AnnullShard,currency,3, / Annulment Shard
Currency,Currency/CleansingFireOrbRank1,currency,3, / Lesser Eldritch Ember
Currency,Currency/CleansingFireOrbRank3,currency,3, / Grand Eldritch Ember
Currency,Currency/CurrencyCoin,currency,3, / Perandus Coin
Currency,Currency/CurrencyMapQuality,currency,3, / Cartographer's Chisel
Currency,Currency/CurrencyModValues,currency,3, / Divine Orb
Currency,Currency/EngineersOrb,currency,3, / Engineer's Orb
Currency,Currency/ExaltedShard,currency,3, / Exalted Shard
Currency,Currency/Faridun,currency,3, / Coin of Desecration
Currency,Currency/MavenChisel1,currency,3, / Maven's Chisel of Procurement
Currency,Currency/MavenChisel2,currency,3, / Maven's Chisel of Proliferation
Currency,Currency/MavenChisel4,currency,3, / Maven's Chisel of Avarice
Currency,Currency/RegalShard,currency,3, / Regal Shard
Currency,Currency/RegretOrb,currency,3, / Orb of Unmaking
Currency,Currency/TangleOrbRank1,currency,3, / Lesser Eldritch Ichor
Currency,Currency/VeiledExaltedOrb,currency,3, / Veiled Exalted Orb
Currency,Divination/Deck,currency,3, / Stacked Deck
Currency,Maps/CosmicCoreSupporterVaultKey,map,3, / Voidborn Reliquary Key
Currency,Maps/MarakethShard,currency,3, / Timeless Maraketh Splinter
Currency,Maps/TempleMap,map,3, / Chronicle of Atzoatl
Currency,Currency/Chayula,currency,2, / Foulborn Orb of Augmentation
Currency,Currency/CleansingFireOrbRank2,currency,2, / Greater Eldritch Ember
Currency,Currency/CleansingFireOrbRank4,currency,2, / Exceptional Eldritch Ember
Currency,Currency/ConflictOrbRank1,currency,2, / Orb of Conflict
Currency,Currency/DivineEnchantWeaponCurrency,currency,2, / Tailoring Orb
Currency,Currency/EldritchAnnulmentOrb,currency,2, / Eldritch Orb of Annulment
Currency,Currency/FracturingOrbCombined,currency,2, / Fracturing Orb
Currency,Currency/FracturingOrbShard,currency,2, / Fracturing Shard
Currency,Currency/HarbingerOrb,currency,2, / Harbinger's Orb
Currency,Currency/HorizonOrb,currency,2, / Orb of Horizons
Currency,Currency/MavenChisel3,currency,2, / Maven's Chisel of Scarabs
Currency,Currency/MavenChisel5,currency,2, / Maven's Chisel of Divination
Currency,Currency/MavenOrb,currency,2, / Orb of Dominance
Currency,Currency/TangleOrbRank2,currency,2, / Greater Eldritch Ichor
Currency,Currency/TangleOrbRank3,currency,2, / Grand Eldritch Ichor
Currency,Currency/TangleOrbRank4,currency,2, / Exceptional Eldritch Ichor
Currency,Currency/VeiledChaosOrb,currency,2, / Veiled Chaos Orb
Currency,Currency/Azmeri,corpse,1, / Warlord
Currency,Currency/CurrencyDuplicate,currency,1, / Mirror of Kalandra
Currency,Currency/CurrencyGemExperience,currency,1, / Facetor's Lens
Currency,Currency/CurrencyWishSupportGemBlue,currency,1, / Coin of Knowledge
Currency,Currency/CurrencyWishSupportGemGreen,currency,1, / Coin of Skill
Currency,Currency/CurrencyWishSupportGemRed,currency,1, / Coin of Power
Currency,Currency/EldritchChaosOrb,currency,1, / Eldritch Chaos Orb
Currency,Currency/EldritchExaltedOrb,currency,1, / Eldritch Exalted Orb
Currency,Currency/InfusedEngineersOrb,currency,1, / Infused Engineer's Orb
Currency,Currency/MirrorShard,currency,1, / Mirror Shard
Currency,Currency/Runes,-,1, / Desert Rune
Currency,Currency/SacredOrb,currency,1, / Sacred Orb
Currency,Currency/TransferOrb,currency,1, / Awakener's Orb
Currency,Currency/VialArchitectsHand,currency,1, / Vial of Dominance
Currency,Currency/VialDanceOffered,currency,1, / Vial of the Ritual
Currency,Currency/VialStoryVaal,currency,1, / Vial of Fate
Currency,Currency/VolatileVaalOrb,currency,1, / Volatile Vaal Orb
Currency,Effects/WrappingPaper,enshrouded,1, / Enshrouded Boots
Currency,QuestItems/Heist,currency,1, / Incense of Keth
DivinationCard,Divination/InventoryIcon,card,884, / The Tower
Gem,Gems/Support,gem,2483, / Enlighten Support
Gem,Gems/VaalGems,gem,540, / Vaal Discipline
Gem,Gems/FlameDash,gem,89, / Flame Dash
Gem,Gems/Portal,gem,78, / Portal
Gem,Gems/AccuracyandCriticalChanceAura,gem,56, / Precision
Gem,Gems/Determination,gem,56, / Determination
Gem,Gems/ShieldCharge,gem,49, / Shield Charge
Gem,Gems/FrostblinkSkillGem,gem,47, / Frostblink
Gem,Gems/Vitality,gem,47, / Vitality
Gem,Gems/Grace,gem,46, / Grace
Gem,Gems/Purity,gem,43, / Purity of Elements
Gem,Gems/SkitterbotSkillGem,gem,40, / Summon Skitterbots
