# generated by scripts/census.py from raw/spike-GERWARIC_7694-2026-09-13.db, raw/cpp-userstore-GERWARIC_7694-2026-09-13.db, ../trade-query/data/items-2026-09-12.json
path,items,share,types,by_frame_type,example
baseType,36139,1.000,string:36139,Rare:8435;Normal:8086;Gem:7040;Unique:5904;Magic:3511;Currency:2270;DivinationCard:884;SupporterFoil:7;Quest:2,Colossal Tower Shield
frameType,36139,1.000,int:36139,Rare:8435;Normal:8086;Gem:7040;Unique:5904;Magic:3511;Currency:2270;DivinationCard:884;SupporterFoil:7;Quest:2,2
frameTypeId,36139,1.000,string:36139,Rare:8435;Normal:8086;Gem:7040;Unique:5904;Magic:3511;Currency:2270;DivinationCard:884;SupporterFoil:7;Quest:2,Rare
h,36139,1.000,int:36139,Rare:8435;Normal:8086;Gem:7040;Unique:5904;Magic:3511;Currency:2270;DivinationCard:884;SupporterFoil:7;Quest:2,4
icon,36139,1.000,string:36139,Rare:8435;Normal:8086;Gem:7040;Unique:5904;Magic:3511;Currency:2270;DivinationCard:884;SupporterFoil:7;Quest:2,https://web.poecdn.com/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvQXJtb3Vycy9TaGllbGR
id,36139,1.000,string:36139,Rare:8435;Normal:8086;Gem:7040;Unique:5904;Magic:3511;Currency:2270;DivinationCard:884;SupporterFoil:7;Quest:2,7081b099a47065169f0d7b0fcca6893caf9f470af6e63abfb63bd3b591fbbafa
identified,36139,1.000,bool:36139,Rare:8435;Normal:8086;Gem:7040;Unique:5904;Magic:3511;Currency:2270;DivinationCard:884;SupporterFoil:7;Quest:2,true
ilvl,36139,1.000,int:36139,Rare:8435;Normal:8086;Gem:7040;Unique:5904;Magic:3511;Currency:2270;DivinationCard:884;SupporterFoil:7;Quest:2,85
league,36139,1.000,string:36139,Rare:8435;Normal:8086;Gem:7040;Unique:5904;Magic:3511;Currency:2270;DivinationCard:884;SupporterFoil:7;Quest:2,Standard
name,36139,1.000,string:36139,Rare:8435;Normal:8086;Gem:7040;Unique:5904;Magic:3511;Currency:2270;DivinationCard:884;SupporterFoil:7;Quest:2,Rune Bastion
typeLine,36139,1.000,string:36139,Rare:8435;Normal:8086;Gem:7040;Unique:5904;Magic:3511;Currency:2270;DivinationCard:884;SupporterFoil:7;Quest:2,Colossal Tower Shield
verified,36139,1.000,bool:36139,Rare:8435;Normal:8086;Gem:7040;Unique:5904;Magic:3511;Currency:2270;DivinationCard:884;SupporterFoil:7;Quest:2,false
w,36139,1.000,int:36139,Rare:8435;Normal:8086;Gem:7040;Unique:5904;Magic:3511;Currency:2270;DivinationCard:884;SupporterFoil:7;Quest:2,2
inventoryId,34161,0.945,string:34161,Rare:8423;Normal:8086;Unique:5904;Gem:5075;Magic:3511;Currency:2269;DivinationCard:884;SupporterFoil:7;Quest:2,Stash1
x,34161,0.945,int:34161,Rare:8423;Normal:8086;Unique:5904;Gem:5075;Magic:3511;Currency:2269;DivinationCard:884;SupporterFoil:7;Quest:2,22
y,34161,0.945,int:34161,Rare:8423;Normal:8086;Unique:5904;Gem:5075;Magic:3511;Currency:2269;DivinationCard:884;SupporterFoil:7;Quest:2,3
explicitMods,26930,0.745,array:26930,Rare:7852;Gem:6932;Unique:5535;Magic:3386;Currency:1850;DivinationCard:884;Normal:484;SupporterFoil:7,"[{""description"": ""141% increased Armour""}, {""description"": ""Regenerate 23.2 Life"
explicitMods[],26930,0.745,object:26706;string:224,Rare:7852;Gem:6932;Unique:5535;Magic:3386;Currency:1850;DivinationCard:884;Normal:484;SupporterFoil:7,"{""description"": ""141% increased Armour""}"
properties,26891,0.744,array:26891,Gem:7040;Rare:5662;Unique:4404;Normal:3520;Magic:3207;Currency:2176;DivinationCard:874;SupporterFoil:6;Quest:2,"[{""displayMode"": 0, ""name"": ""Quality"", ""type"": 6, ""values"": [[""+20%"", 1]]}, {""di"
properties[],26891,0.744,object:26891,Gem:7040;Rare:5662;Unique:4404;Normal:3520;Magic:3207;Currency:2176;DivinationCard:874;SupporterFoil:6;Quest:2,"{""displayMode"": 0, ""name"": ""Quality"", ""type"": 6, ""values"": [[""+20%"", 1]]}"
properties[].displayMode,26891,0.744,int:26891,Gem:7040;Rare:5662;Unique:4404;Normal:3520;Magic:3207;Currency:2176;DivinationCard:874;SupporterFoil:6;Quest:2,0
properties[].name,26891,0.744,string:26891,Gem:7040;Rare:5662;Unique:4404;Normal:3520;Magic:3207;Currency:2176;DivinationCard:874;SupporterFoil:6;Quest:2,Quality
properties[].values,26891,0.744,array:26891,Gem:7040;Rare:5662;Unique:4404;Normal:3520;Magic:3207;Currency:2176;DivinationCard:874;SupporterFoil:6;Quest:2,"[[""+20%"", 1]]"
explicitMods[].description,26706,0.739,string:26706,Rare:7852;Gem:6932;Unique:5535;Magic:3386;Currency:1800;DivinationCard:814;Normal:380;SupporterFoil:7,141% increased Armour
properties[].values[],26660,0.738,array:26660,Gem:7040;Rare:5471;Unique:4394;Normal:3518;Magic:3179;Currency:2176;DivinationCard:874;SupporterFoil:6;Quest:2,"[""+20%"", 1]"
properties[].values[][],26660,0.738,string:26660,Gem:7040;Rare:5471;Unique:4394;Normal:3518;Magic:3179;Currency:2176;DivinationCard:874;SupporterFoil:6;Quest:2,+20%
descrText,26116,0.723,string:26116,Normal:7871;Gem:7040;Rare:4133;Magic:3262;Currency:2267;Unique:1541;SupporterFoil:2,Right click this item then left click an allocated Passive Skill. Maximum 50 Tat
rarity,25370,0.702,string:25370,Rare:8435;Normal:7512;Unique:5904;Magic:3511;SupporterFoil:7;Currency:1,Rare
properties[].type,23640,0.654,int:23640,Gem:7021;Rare:5424;Unique:3845;Normal:2384;Currency:2175;Magic:1910;DivinationCard:874;SupporterFoil:5;Quest:2,6
requirements,19879,0.550,array:19879,Gem:7018;Rare:4764;Unique:4482;Magic:2013;Normal:1595;SupporterFoil:6;Currency:1,"[{""displayMode"": 0, ""name"": ""Level"", ""type"": 62, ""values"": [[""67"", 0]]}, {""displ"
