# generated by scripts/map-identity.py from raw/spike-GERWARIC_7694-2026-09-13.db, raw/cpp-userstore-GERWARIC_7694-2026-09-13.db, ../trade-query/data/items-2026-09-12.json
art,items,tiers,mn,mt,mg,mi,mc,example
MapNumbers16,285,16:285,24:285,0:285,1:3;2:6;3:7;4:5,2:21,1:5;2:1;3:1;4:5, / Map (Tier 16)
Cemetery,174,4:151;11:6;15:1;16:16,13:84;14:72;21:10;23:8,0:174,1:3;2:2;3:2;4:4,2:11,1:3, / Map (Tier 4)
Summit,127,3:2;12:2;15:64;16:59,12:47;13:75;21:2;23:3,0:127,2:2,2:2,2:1, / Map (Tier 16)
Dunes,117,2:5;9:6;10:82;13:1;16:23,13:87;21:10;23:20,0:117,3:1;4:2,2:3,4:1, / Map (Tier 16)
CitySquare,110,6:67;7:1;8:7;9:5;16:30,13:88;21:8;23:14,0:110,1:1;2:4,2:5,,Evil Vault / Map (Tier 16)
DefiledCathedral,105,6:16;8:75;11:1;13:9;14:1;16:3,10:1;13:78;21:17;23:9,0:105,3:1,2:1,, / Empowered Map of Drought (Tier 6)
Vault,100,1:77;4:11;8:2;11:9;15:1,10:1;13:79;21:20,0:100,3:1,2:1,,Stained Cramp / Map (Tier 15)
Marshes,99,3:12;9:82;12:3;16:2,13:84;21:12;23:3,0:99,,,, / Map of Smothering (Tier 9)
Plateau,99,5:15;6:1;12:1;15:71;16:11,12:60;15:1;21:16;23:22,0:99,,,4:1, / Map (Tier 6)
Bramblefall,98,5:1;7:12;8:79;12:1;13:1;15:1;16:3,13:82;14:1;21:12;23:3,0:98,,,, / Savage Map (Tier 7)
Coves,98,3:2;5:13;10:4;12:2;14:4;16:73,13:87;19:1;21:4;23:6,0:98,1:2;3:6;4:1,2:9,2:4;4:2,Godless Cradle / Map (Tier 10)
Mesa,98,1:32;4:12;8:4;11:5;15:16;16:29,13:41;14:16;21:7;23:34,0:98,4:1,2:1,2:1, / Map (Tier 1)
Volcano,97,2:10;6:1;9:82;16:4,13:81;16:1;23:15,0:97,,,, / Map (Tier 6)
Corpse,93,2:10;9:13;14:69;16:1,12:69;21:17;23:7,0:93,,,, / Map (Tier 16)
Belfry,92,6:14;8:66;11:7;16:5,13:71;21:14;23:7,0:92,,,, / Map of Drought (Tier 8)
