# generated by scripts/census.py from raw/spike-GERWARIC_7694-2026-09-13.db, raw/cpp-userstore-GERWARIC_7694-2026-09-13.db, ../trade-query/data/items-2026-09-12.json
array,template,items,lines,kinds,flags,example
explicitMods,# to maximum Life,2775,2791,object:2791,crafted=True:228;fractured=True:22,+92 to maximum Life
explicitMods,Base duration is # seconds,1668,1668,object:1668,,Base duration is 1.60 seconds
explicitMods,#% to Cold Resistance,1444,1444,object:1444,crafted=True:26;fractured=True:5,+28% to Cold Resistance
explicitMods,# to maximum Mana,1428,1430,object:1430,crafted=True:42;fractured=True:10,+54 to maximum Mana
explicitMods,#% to Fire Resistance,1418,1418,object:1418,crafted=True:32;fractured=True:7,+44% to Fire Resistance
explicitMods,#% to Lightning Resistance,1332,1332,object:1332,crafted=True:29;fractured=True:13,+45% to Lightning Resistance
explicitMods,# to maximum Energy Shield,1145,1147,object:1147,crafted=True:19;fractured=True:11,+14 to maximum Energy Shield
explicitMods,# to Dexterity,1076,1076,object:1076,crafted=True:14;fractured=True:9,+40 to Dexterity
explicitMods,# to Strength,954,954,object:954,fractured=True:13;crafted=True:8,+27 to Strength
explicitMods,# to Intelligence,874,874,object:874,crafted=True:6;fractured=True:2,+35 to Intelligence
explicitMods,#% more Monster Life,871,871,object:871,,28% more Monster Life
explicitMods,#% increased Attack Speed,823,823,object:823,crafted=True:7;fractured=True:7,4% increased Attack Speed
explicitMods,# metres to radius,805,805,object:805,,+1.9 metres to radius
explicitMods,#% increased Movement Speed,786,786,object:786,crafted=True:19;fractured=True:8,30% increased Movement Speed
explicitMods,#% to all Elemental Resistances,749,749,object:749,crafted=True:4;fractured=True:4,+12% to all Elemental Resistances
explicitMods,#% increased Physical Damage,708,712,object:712,crafted=True:16;fractured=True:3,23% increased Physical Damage
explicitMods,Regenerate # Life per second,691,694,object:694,crafted=True:12;fractured=True:10,Regenerate 23.2 Life per second
explicitMods,#% increased Monster Damage,649,649,object:649,,39% increased Monster Damage
explicitMods,#% increased Stun and Block Recovery,629,630,object:630,fractured=True:2,43% increased Stun and Block Recovery
explicitMods,#% to Chaos Resistance,618,618,object:618,fractured=True:7;mutated=True:1,+26% to Chaos Resistance
explicitMods,# to Accuracy Rating,594,595,object:595,fractured=True:8;crafted=True:2,+338 to Accuracy Rating
explicitMods,Base radius is # metres,585,585,object:585,,Base radius is 1.2 metres
explicitMods,#% increased Rarity of Items found,577,577,object:577,fractured=True:4,24% increased Rarity of Items found
explicitMods,# to Evasion Rating,556,556,object:556,crafted=True:4;fractured=True:3,+3 to Evasion Rating
explicitMods,#% increased Evasion Rating,509,512,object:512,crafted=True:10;fractured=True:3,65% increased Evasion Rating
explicitMods,Adds # to # Physical Damage,475,475,object:475,fractured=True:3;crafted=True:1,Adds 5 to 25 Physical Damage
explicitMods,# to Armour,463,464,object:464,crafted=True:16;fractured=True:6;mutated=True:3,+229 to Armour
explicitMods,#% increased Armour,461,462,object:462,crafted=True:11;fractured=True:3,141% increased Armour
explicitMods,#% increased Mana Regeneration Rate,450,450,object:450,fractured=True:5;crafted=True:3,48% increased Mana Regeneration Rate
explicitMods,Adds # to # Physical Damage to Attacks,438,438,object:438,crafted=True:1;fractured=True:1,Adds 3 to 6 Physical Damage to Attacks
explicitMods,#% increased Cast Speed,407,407,object:407,crafted=True:3;fractured=True:1,10% increased Cast Speed
explicitMods,# to all Attributes,365,365,object:365,fractured=True:1,+28 to all Attributes
explicitMods,Reinforcements have #% increased Attack Speed,357,357,object:357,,Reinforcements have 39% increased Attack Speed
explicitMods,Reinforcements have #% increased Cast Speed,357,357,object:357,,Reinforcements have 39% increased Cast Speed
explicitMods,Reinforcements have #% increased Movement Speed,357,357,object:357,,Reinforcements have 28% increased Movement Speed
explicitMods,Reward Rooms have #% increased Monsters,347,347,object:347,,Reward Rooms have 23% increased Monsters
explicitMods,#% increased Cooldown Recovery Rate,346,346,object:346,,47% increased Cooldown Recovery Rate
explicitMods,#% increased Energy Shield,333,338,object:338,crafted=True:9;fractured=True:3,97% increased Energy Shield
explicitMods,,326,858,object:817;string:41,,
explicitMods,#% increased Armour and Energy Shield,325,326,object:326,crafted=True:4;fractured=True:3,56% increased Armour and Energy Shield
explicitMods,Modifiers to Spell Damage apply to this Skill's Damage Over Time effect,322,322,object:322,,Modifiers to Spell Damage apply to this Skill's Damage Over Time effect
