# generated by scripts/census.py from raw/spike-GERWARIC_7694-2026-09-13.db, raw/cpp-userstore-GERWARIC_7694-2026-09-13.db, ../trade-query/data/items-2026-09-12.json
array,name,type,displayMode,value_templates,n_values,items,example
additionalProperties,Experience,20,2,#/#,1,5214,"{""displayMode"": 2, ""name"": ""Experience"", ""progress"": 1, ""type"": 20, ""values"": [[""59146/59146"", 0]]}"
additionalProperties,,49,0,Apex of Ascension (Tier #),1,3,"{""displayMode"": 0, ""name"": """", ""type"": 49, ""values"": [[""Apex of Ascension (Tier 3)"", 0]]}"
additionalProperties,,49,0,Apex of Atzoatl,1,3,"{""displayMode"": 0, ""name"": """", ""type"": 49, ""values"": [[""Apex of Atzoatl"", 0]]}"
additionalProperties,Open Rooms:,,0,,0,3,"{""displayMode"": 0, ""name"": ""Open Rooms:"", ""values"": []}"
additionalProperties,,49,0,Catalyst of Corruption (Tier #),1,2,"{""displayMode"": 0, ""name"": """", ""type"": 49, ""values"": [[""Catalyst of Corruption (Tier 2)"", 0]]}"
additionalProperties,,49,0,Tunnels,1,2,"{""displayMode"": 0, ""name"": """", ""type"": 49, ""values"": [[""Tunnels"", 0]]}"
additionalProperties,,49,0,Temple Nexus (Tier #),1,1,"{""displayMode"": 0, ""name"": """", ""type"": 49, ""values"": [[""Temple Nexus (Tier 3)"", 0]]}"
additionalProperties,,49,0,Tempest Generator (Tier #),1,1,"{""displayMode"": 0, ""name"": """", ""type"": 49, ""values"": [[""Tempest Generator (Tier 1)"", 0]]}"
additionalProperties,,49,0,Factory (Tier #),1,1,"{""displayMode"": 0, ""name"": """", ""type"": 49, ""values"": [[""Factory (Tier 3)"", 0]]}"
additionalProperties,,49,0,Wealth of the Vaal (Tier #),1,1,"{""displayMode"": 0, ""name"": """", ""type"": 49, ""values"": [[""Wealth of the Vaal (Tier 3)"", 0]]}"
additionalProperties,,49,0,Omnitect Reactor Plant (Tier #),1,1,"{""displayMode"": 0, ""name"": """", ""type"": 49, ""values"": [[""Omnitect Reactor Plant (Tier 2)"", 0]]}"
additionalProperties,,49,0,Omnitect Forge (Tier #),1,1,"{""displayMode"": 0, ""name"": """", ""type"": 49, ""values"": [[""Omnitect Forge (Tier 2)"", 0]]}"
additionalProperties,,49,0,Jeweller's Workshop (Tier #),1,1,"{""displayMode"": 0, ""name"": """", ""type"": 49, ""values"": [[""Jeweller's Workshop (Tier 1)"", 0]]}"
additionalProperties,,49,0,Cultivar Chamber (Tier #),1,1,"{""displayMode"": 0, ""name"": """", ""type"": 49, ""values"": [[""Cultivar Chamber (Tier 2)"", 0]]}"
additionalProperties,,49,0,Torture Cages (Tier #),1,1,"{""displayMode"": 0, ""name"": """", ""type"": 49, ""values"": [[""Torture Cages (Tier 2)"", 0]]}"
additionalProperties,,49,0,Temple Defense Workshop (Tier #),1,1,"{""displayMode"": 0, ""name"": """", ""type"": 49, ""values"": [[""Temple Defense Workshop (Tier 2)"", 0]]}"
additionalProperties,,49,0,Surveyor's Study (Tier #),1,1,"{""displayMode"": 0, ""name"": """", ""type"": 49, ""values"": [[""Surveyor's Study (Tier 1)"", 0]]}"
additionalProperties,,49,0,House of the Others (Tier #),1,1,"{""displayMode"": 0, ""name"": """", ""type"": 49, ""values"": [[""House of the Others (Tier 3)"", 0]]}"
additionalProperties,,49,0,Hall of Legends (Tier #),1,1,"{""displayMode"": 0, ""name"": """", ""type"": 49, ""values"": [[""Hall of Legends (Tier 3)"", 0]]}"
additionalProperties,,49,0,Sanctum of Unity (Tier #),1,1,"{""displayMode"": 0, ""name"": """", ""type"": 49, ""values"": [[""Sanctum of Unity (Tier 2)"", 0]]}"
