# generated by scripts/extract-conditions.py from raw/Path of Exile - Item Filters.html. Actions do not read an item; they are listed by name only (BRIEF).
action,section
PlayAlertSound,Drop Sound
PlayAlertSoundPositional,Drop Sound
CustomAlertSound,Drop Sound
CustomAlertSoundOptional,Drop Sound
DisableDropSound,Drop Sound
EnableDropSound,Drop Sound
DisableDropSoundIfAlertSound,Drop Sound
EnableDropSoundIfAlertSound,Drop Sound
MinimapIcon,Other Actions
PlayEffect,Other Actions
SetBackgroundColor,Other Actions
SetBorderColor,Other Actions
SetFontSize,Other Actions
SetTextColor,Other Actions
