array,template,items,lines,by_league,by_rarity,by_icon_dir,example
bondedMods,# to maximum Life,1,1,Standard:1,Currency:1,Currency/Runes:1,+20 to maximum Life
bondedMods,# to maximum Mana,1,1,Standard:1,Currency:1,Currency/Runes:1,+20 to maximum Mana
bondedMods,Armour:,1,1,Standard:1,Currency:1,Currency/Runes:1,Armour:
bondedMods,Wand or Staff: #% increased [Ignite|Ignite] [BuffMagnitude|Magnitude],1,1,Standard:1,Currency:1,Currency/Runes:1,Wand or Staff: 30% increased [Ignite|Ignite] [BuffMagnitude|Magnitude]
bondedMods,[MartialWeapon|Martial Weapon]: #% increased [Ignite|Ignite] [BuffMagnitude|Magnitude],1,1,Standard:1,Currency:1,Currency/Runes:1,[MartialWeapon|Martial Weapon]: 30% increased [Ignite|Ignite] [BuffMagnitude|Magnitude]
bondedMods,[ShamanOnlyMods|Bonded]:,1,1,Standard:1,Currency:1,Currency/Runes:1,[ShamanOnlyMods|Bonded]:
crucibleMods,Adds # to # Fire Damage,14,14,Standard:14,Rare:10;Unique:2;Normal:1;Magic:1,Weapons/TwoHandWeapons:9;Weapons/OneHandWeapons:5,Adds 1 to 5 Fire Damage
crucibleMods,Adds # to # Lightning Damage,14,14,Standard:14,Rare:10;Normal:2;Magic:2,Weapons/TwoHandWeapons:9;Weapons/OneHandWeapons:5,Adds 1 to 29 Lightning Damage
crucibleMods,Adds # to # Physical Damage,9,9,Standard:9,Rare:4;Unique:2;Magic:2;Normal:1,Weapons/TwoHandWeapons:6;Weapons/OneHandWeapons:3,Adds 6 to 11 Physical Damage
crucibleMods,#% increased Spell Damage,8,8,Standard:8,Unique:4;Rare:2;Magic:1;Normal:1,Weapons/OneHandWeapons:7;Weapons/TwoHandWeapons:1,10% increased Spell Damage
crucibleMods,#% to Critical Strike Chance,7,7,Standard:7,Rare:3;Normal:2;Magic:1;Unique:1,Weapons/TwoHandWeapons:4;Weapons/OneHandWeapons:3,+1.5% to Critical Strike Chance
crucibleMods,#% increased Attack Speed,5,5,Standard:5,Rare:2;Unique:1;Magic:1;Normal:1,Weapons/OneHandWeapons:3;Weapons/TwoHandWeapons:2,9% increased Attack Speed
crucibleMods,#% reduced Attack Speed,5,5,Standard:5,Magic:3;Normal:1;Rare:1,Weapons/TwoHandWeapons:4;Weapons/OneHandWeapons:1,15% reduced Attack Speed
crucibleMods,#% increased maximum Energy Shield,4,4,Standard:4,Unique:2;Rare:1;Normal:1,Weapons/OneHandWeapons:3;Weapons/TwoHandWeapons:1,10% increased maximum Energy Shield
crucibleMods,#% increased maximum Mana,4,4,Standard:4,Unique:2;Magic:1;Rare:1,Weapons/OneHandWeapons:4,10% increased maximum Mana
crucibleMods,#% to Spell Critical Strike Chance,3,3,Standard:3,Unique:2;Normal:1,Weapons/OneHandWeapons:2;Weapons/TwoHandWeapons:1,+0.8% to Spell Critical Strike Chance
crucibleMods,Adds # to # Chaos Damage,3,3,Standard:3,Rare:2;Magic:1,Weapons/OneHandWeapons:2;Weapons/TwoHandWeapons:1,Adds 4 to 6 Chaos Damage
crucibleMods,Adds # to # Cold Damage,3,3,Standard:3,Rare:2;Magic:1,Weapons/OneHandWeapons:2;Weapons/TwoHandWeapons:1,Adds 3 to 6 Cold Damage
crucibleMods,# metres to Weapon Range,2,2,Standard:2,Unique:1;Rare:1,Weapons/OneHandWeapons:1;Weapons/TwoHandWeapons:1,+0.3 metres to Weapon Range
crucibleMods,#% increased Damage over Time,2,2,Standard:2,Magic:1;Unique:1,Weapons/TwoHandWeapons:1;Weapons/OneHandWeapons:1,68% increased Damage over Time
crucibleMods,#% increased Implicit Modifier magnitudes,2,2,Standard:2,Unique:1;Rare:1,Weapons/OneHandWeapons:1;Weapons/TwoHandWeapons:1,25% increased Implicit Modifier magnitudes
crucibleMods,#% more Cast Speed,2,2,Standard:2,Unique:1;Normal:1,Weapons/OneHandWeapons:1;Weapons/TwoHandWeapons:1,6% more Cast Speed
crucibleMods,#% reduced Totem Life,2,2,Standard:2,Rare:1;Normal:1,Weapons/TwoHandWeapons:1;Weapons/OneHandWeapons:1,25% reduced Totem Life
crucibleMods,#% to Critical Strike Multiplier for Spell Damage,2,2,Standard:2,Unique:1;Normal:1,Weapons/OneHandWeapons:2,+50% to Critical Strike Multiplier for Spell Damage
crucibleMods,#% to Quality,2,2,Standard:2,Magic:1;Rare:1,Weapons/OneHandWeapons:1;Weapons/TwoHandWeapons:1,+16% to Quality
crucibleMods,Adds # to # Cold Damage to Spells,2,2,Standard:2,Unique:1;Rare:1,Weapons/OneHandWeapons:2,Adds 1 to 3 Cold Damage to Spells
crucibleMods,Adds # to # Lightning Damage to Spells,2,2,Standard:2,Unique:1;Normal:1,Weapons/TwoHandWeapons:2,Adds 7 to 133 Lightning Damage to Spells
crucibleMods,Regenerate #% of Mana per second,2,2,Standard:2,Normal:1;Rare:1,Weapons/TwoHandWeapons:2,Regenerate 0.6% of Mana per second
crucibleMods,"Totems Explode on Death, dealing #% of their Life as Physical Damage",2,2,Standard:2,Rare:1;Normal:1,Weapons/TwoHandWeapons:1;Weapons/OneHandWeapons:1,"Totems Explode on Death, dealing 30% of their Life as Physical Damage"
crucibleMods,# to Armour,1,1,Standard:1,Unique:1,Armours/Helmets:1,+125 to Armour
crucibleMods,# to Level of Socketed Melee Gems,1,1,Standard:1,Normal:1,Weapons/OneHandWeapons:1,+2 to Level of Socketed Melee Gems
crucibleMods,# to Level of Socketed Minion Gems,1,1,Standard:1,Magic:1,Weapons/OneHandWeapons:1,+2 to Level of Socketed Minion Gems
crucibleMods,# to Strength,1,1,Standard:1,Normal:1,Weapons/TwoHandWeapons:1,+120 to Strength
crucibleMods,#% chance to Freeze,1,1,Standard:1,Unique:1,Weapons/OneHandWeapons:1,10% chance to Freeze
crucibleMods,#% chance to Ignite,1,1,Standard:1,Unique:1,Weapons/TwoHandWeapons:1,20% chance to Ignite
crucibleMods,#% chance to deal Double Damage if Strength is below #,1,1,Standard:1,Rare:1,Weapons/OneHandWeapons:1,6% chance to deal Double Damage if Strength is below 100
crucibleMods,#% chance to gain a Frenzy Charge on Kill,1,1,Standard:1,Normal:1,Weapons/TwoHandWeapons:1,6% chance to gain a Frenzy Charge on Kill
crucibleMods,#% increased Cast Speed,1,1,Standard:1,Rare:1,Weapons/OneHandWeapons:1,5% increased Cast Speed
crucibleMods,#% increased Cooldown Recovery Rate,1,1,Standard:1,Unique:1,Weapons/TwoHandWeapons:1,25% increased Cooldown Recovery Rate
crucibleMods,#% increased Critical Strike Chance,1,1,Standard:1,Magic:1,Weapons/TwoHandWeapons:1,10% increased Critical Strike Chance
crucibleMods,#% increased Explicit Attribute Modifier magnitudes,1,1,Standard:1,Unique:1,Weapons/OneHandWeapons:1,10% increased Explicit Attribute Modifier magnitudes
crucibleMods,#% increased Explicit Physical and Chaos Damage Modifier magnitudes,1,1,Standard:1,Normal:1,Weapons/TwoHandWeapons:1,10% increased Explicit Physical and Chaos Damage Modifier magnitudes
crucibleMods,#% increased Lightning Damage,1,1,Standard:1,Rare:1,Armours/Shields:1,20% increased Lightning Damage
crucibleMods,#% increased Mana Cost of Skills,1,1,Standard:1,Normal:1,Weapons/TwoHandWeapons:1,15% increased Mana Cost of Skills
crucibleMods,#% increased Movement Speed,1,1,Standard:1,Rare:1,Weapons/TwoHandWeapons:1,18% increased Movement Speed
crucibleMods,#% increased Movement Speed if Dexterity is below #,1,1,Standard:1,Unique:1,Weapons/TwoHandWeapons:1,20% increased Movement Speed if Dexterity is below 100
crucibleMods,#% increased total Recovery per second from Mana Leech,1,1,Standard:1,Magic:1,Weapons/TwoHandWeapons:1,60% increased total Recovery per second from Mana Leech
crucibleMods,#% less maximum Mana,1,1,Standard:1,Rare:1,Weapons/TwoHandWeapons:1,25% less maximum Mana
crucibleMods,#% of Attack Damage Leeched as Mana,1,1,Standard:1,Magic:1,Weapons/TwoHandWeapons:1,1% of Attack Damage Leeched as Mana
crucibleMods,#% of Physical Damage Converted to Chaos Damage,1,1,Standard:1,Magic:1,Weapons/OneHandWeapons:1,15% of Physical Damage Converted to Chaos Damage
crucibleMods,#% reduced Attribute Requirements,1,1,Standard:1,Rare:1,Weapons/TwoHandWeapons:1,30% reduced Attribute Requirements
crucibleMods,#% reduced Duration of Ailments on You,1,1,Standard:1,Unique:1,Weapons/OneHandWeapons:1,15% reduced Duration of Ailments on You
crucibleMods,#% reduced Life Recovery rate,1,1,Standard:1,Magic:1,Weapons/TwoHandWeapons:1,16% reduced Life Recovery rate
crucibleMods,#% reduced Skill Effect Duration,1,1,Standard:1,Unique:1,Weapons/TwoHandWeapons:1,10% reduced Skill Effect Duration
crucibleMods,#% reduced Totem Placement speed,1,1,Standard:1,Rare:1,Weapons/TwoHandWeapons:1,25% reduced Totem Placement speed
crucibleMods,Adds # to # Fire Damage to Spells,1,1,Standard:1,Unique:1,Weapons/OneHandWeapons:1,Adds 9 to 14 Fire Damage to Spells
crucibleMods,Adds # to # Physical Damage to Spells,1,1,Standard:1,Magic:1,Weapons/OneHandWeapons:1,Adds 6 to 10 Physical Damage to Spells
crucibleMods,Allocates Heavy Draw,1,1,Standard:1,Magic:1,Weapons/TwoHandWeapons:1,Allocates Heavy Draw
crucibleMods,Attacks with this Weapon have #% chance to deal Double Damage,1,1,Standard:1,Magic:1,Weapons/TwoHandWeapons:1,Attacks with this Weapon have 20% chance to deal Double Damage
crucibleMods,Brand Skills have #% reduced Duration,1,1,Standard:1,Normal:1,Weapons/OneHandWeapons:1,Brand Skills have 20% reduced Duration
crucibleMods,Brands have #% increased Area of Effect if #% of Attached Duration expired,1,1,Standard:1,Normal:1,Weapons/OneHandWeapons:1,Brands have 25% increased Area of Effect if 50% of Attached Duration expired
crucibleMods,Gain no inherent bonuses from Strength,1,1,Standard:1,Normal:1,Weapons/TwoHandWeapons:1,Gain no inherent bonuses from Strength
crucibleMods,Herald of Ash has #% increased Buff Effect,1,1,Standard:1,Rare:1,Weapons/OneHandWeapons:1,Herald of Ash has 35% increased Buff Effect
crucibleMods,Herald of Ash has #% increased Reservation,1,1,Standard:1,Rare:1,Weapons/OneHandWeapons:1,Herald of Ash has 25% increased Reservation
crucibleMods,Hits against you Overwhelm #% of Physical Damage Reduction,1,1,Standard:1,Normal:1,Weapons/TwoHandWeapons:1,Hits against you Overwhelm 10% of Physical Damage Reduction
crucibleMods,Item sells for an additional Magmatic Ore,1,1,Standard:1,Magic:1,Weapons/TwoHandWeapons:1,Item sells for an additional Magmatic Ore
crucibleMods,Overwhelm #% Physical Damage Reduction,1,1,Standard:1,Normal:1,Weapons/TwoHandWeapons:1,Overwhelm 24% Physical Damage Reduction
crucibleMods,Skills that Summon a Totem have #% chance to Summon two Totems instead of one,1,1,Standard:1,Rare:1,Weapons/TwoHandWeapons:1,Skills that Summon a Totem have 70% chance to Summon two Totems instead of one
crucibleMods,Socketed Gems are Supported by Level # Iron Grip,1,1,Standard:1,Rare:1,Weapons/TwoHandWeapons:1,Socketed Gems are Supported by Level 10 Iron Grip
crucibleMods,Socketed Gems are Supported by Level # Rage,1,1,Standard:1,Normal:1,Weapons/OneHandWeapons:1,Socketed Gems are Supported by Level 10 Rage
crucibleMods,Socketed Gems are Supported by Level # Unleash,1,1,Standard:1,Unique:1,Weapons/TwoHandWeapons:1,Socketed Gems are Supported by Level 30 Unleash
crucibleMods,You take #% increased Extra Damage from Critical Strikes,1,1,Standard:1,Unique:1,Armours/Helmets:1,You take 20% increased Extra Damage from Critical Strikes
crucibleMods,Your Critical Strikes do not deal extra Damage,1,1,Standard:1,Magic:1,Weapons/OneHandWeapons:1,Your Critical Strikes do not deal extra Damage
crucibleMods,Your Travel Skills are Disabled,1,1,Standard:1,Rare:1,Weapons/TwoHandWeapons:1,Your Travel Skills are Disabled
enchantMods,Adds # Passive Skills,557,557,Allflame:7;Hardcore:6;Solo Self-Found:87;Standard:457,Rare:380;Magic:105;Normal:72,Jewels/NewGemBase2:246;Jewels/NewGemBase3:191;Jewels/NewGemBase1:120,Adds 11 Passive Skills
enchantMods,# Added Passive Skill is a Jewel Socket,243,243,Allflame:4;Hardcore:1;Solo Self-Found:29;Standard:209,Rare:170;Magic:44;Normal:29,Jewels/NewGemBase2:243,1 Added Passive Skill is a Jewel Socket
enchantMods,# Added Passive Skills are Jewel Sockets,187,187,Allflame:2;Hardcore:4;Solo Self-Found:34;Standard:147,Rare:130;Magic:32;Normal:25,Jewels/NewGemBase3:187,2 Added Passive Skills are Jewel Sockets
enchantMods,Used when Charges reach full,123,123,Allflame:3;Standard:120,Magic:108;Unique:9;Normal:6,Flasks/sprint:21;Flasks/granite:21;Flasks/evasionflask01:12,Used when Charges reach full
enchantMods,Players in Area are #% Delirious,92,92,Hardcore:3;Solo Self-Found:2;Standard:87,Normal:50;Rare:35;Magic:7,Maps/Atlas2Maps:92,Players in Area are 20% Delirious
enchantMods,Gains no Charges during Effect,53,53,Allflame:5;Standard:48,Magic:45;Unique:7;Normal:1,Flasks/sprint:11;Flasks/granite:5;Flasks/ruby:5,Gains no Charges during Effect
enchantMods,#% increased effect,45,45,Allflame:5;Standard:40,Magic:43;Normal:1;Unique:1,Flasks/sprint:11;Flasks/granite:5;Flasks/ruby:5,69% increased effect
enchantMods,Your Meteor Towers create Burning Ground for # seconds on Hit,26,26,Allflame:1;Solo Self-Found:2;Standard:23,Rare:19;Unique:7,Rings/MoonstoneRing:4;Rings/TopazSapphire:3;Rings/MingsHeart:2,Your Meteor Towers create Burning Ground for 3 seconds on Hit
enchantMods,Delirium Reward Type: Weapons,23,27,Solo Self-Found:1;Standard:22,Normal:12;Rare:9;Magic:2,Maps/Atlas2Maps:23,Delirium Reward Type: Weapons
enchantMods,Your Chilling Towers freeze enemies for # seconds while they are affected by chilling beams,23,23,Solo Self-Found:1;Standard:22,Rare:18;Unique:5,Rings/AmethystRing:6;Rings/MoonstoneRing:2;Rings/Ring3Unique:2,Your Chilling Towers freeze enemies for 0.2 seconds while they are affected by chilling beams
