file,entry_index,name,refusal
shield.lua,25,Mutewind Pennant,{variant:} references [5] of 4 variants
Special/Generated.lua,0,,"Generated.lua is Lua code: its `[[ ]]` blocks are fragments of the strings the code concatenates, not entries"
Special/Generated.lua,1,,"Generated.lua is Lua code: its `[[ ]]` blocks are fragments of the strings the code concatenates, not entries"
Special/Generated.lua,2,,"Generated.lua is Lua code: its `[[ ]]` blocks are fragments of the strings the code concatenates, not entries"
Special/Generated.lua,3,,"Generated.lua is Lua code: its `[[ ]]` blocks are fragments of the strings the code concatenates, not entries"
Special/Generated.lua,4,,"Generated.lua is Lua code: its `[[ ]]` blocks are fragments of the strings the code concatenates, not entries"
Special/Generated.lua,5,,"Generated.lua is Lua code: its `[[ ]]` blocks are fragments of the strings the code concatenates, not entries"
Special/Generated.lua,6,,"Generated.lua is Lua code: its `[[ ]]` blocks are fragments of the strings the code concatenates, not entries"
Special/Generated.lua,7,,"Generated.lua is Lua code: its `[[ ]]` blocks are fragments of the strings the code concatenates, not entries"
Special/Generated.lua,8,,"Generated.lua is Lua code: its `[[ ]]` blocks are fragments of the strings the code concatenates, not entries"
Special/Generated.lua,9,,"Generated.lua is Lua code: its `[[ ]]` blocks are fragments of the strings the code concatenates, not entries"
Special/Generated.lua,10,,"Generated.lua is Lua code: its `[[ ]]` blocks are fragments of the strings the code concatenates, not entries"
Special/Generated.lua,11,,"Generated.lua is Lua code: its `[[ ]]` blocks are fragments of the strings the code concatenates, not entries"
Special/Generated.lua,12,,"Generated.lua is Lua code: its `[[ ]]` blocks are fragments of the strings the code concatenates, not entries"
