file,entry_index,name,base,variant_index,label,old,label_shape,variant_lines,selection_size,tagged_lines
amulet.lua,0,The Anvil,Amber Amulet,1,Pre 1.3.0,yes,bare `Pre <version>`,10,1,8
amulet.lua,0,The Anvil,Amber Amulet,2,Pre 2.6.0,yes,bare `Pre <version>`,10,1,8
amulet.lua,0,The Anvil,Amber Amulet,3,Pre 3.19.0,yes,bare `Pre <version>`,9,1,7
amulet.lua,0,The Anvil,Amber Amulet,4,Current,no,`Current`,9,1,7
amulet.lua,1,Bloodsoaked Medallion,Amber Amulet,1,only,no,only (the entry has no Variant line),7,1,4
amulet.lua,2,Araku Tiki,Coral Amulet,1,Pre 3.19.0,yes,bare `Pre <version>`,5,1,5
amulet.lua,2,Araku Tiki,Coral Amulet,2,Current,no,`Current`,6,1,4
amulet.lua,3,Ngamahu Tiki,Coral Amulet,1,only,no,only (the entry has no Variant line),6,1,6
amulet.lua,4,The Ascetic,Gold Amulet,1,only,no,only (the entry has no Variant line),3,1,0
amulet.lua,5,Ashes of the Stars,Onyx Amulet,1,Pre 3.23.0,yes,bare `Pre <version>`,5,1,1
amulet.lua,5,Ashes of the Stars,Onyx Amulet,2,Current,no,`Current`,4,1,1
amulet.lua,6,Astramentis,Onyx Amulet,1,only,no,only (the entry has no Variant line),3,1,3
amulet.lua,7,Atziri's Foible,Paua Amulet,1,Pre 2.6.0,yes,bare `Pre <version>`,5,1,4
amulet.lua,7,Atziri's Foible,Paua Amulet,2,Current,no,`Current`,5,1,4
amulet.lua,8,Replica Atziri's Foible,Paua Amulet,1,only,no,only (the entry has no Variant line),4,1,3
amulet.lua,9,Aul's Uprising,Onyx Amulet,1,Strength: Anger,no,`<thing>: <axis>`,7,1,4
amulet.lua,9,Aul's Uprising,Onyx Amulet,2,Strength: Determination,no,`<thing>: <axis>`,7,1,4
amulet.lua,9,Aul's Uprising,Onyx Amulet,3,Strength: Pride,no,`<thing>: <axis>`,7,1,4
amulet.lua,9,Aul's Uprising,Onyx Amulet,4,Strength: Purity of Fire,no,`<thing>: <axis>`,7,1,4
amulet.lua,9,Aul's Uprising,Onyx Amulet,5,Strength: Vitality,no,`<thing>: <axis>`,7,1,4
amulet.lua,9,Aul's Uprising,Onyx Amulet,6,Dexterity: Grace,no,`<thing>: <axis>`,6,1,4
amulet.lua,9,Aul's Uprising,Onyx Amulet,7,Dexterity: Haste,no,`<thing>: <axis>`,6,1,4
amulet.lua,9,Aul's Uprising,Onyx Amulet,8,Dexterity: Hatred,no,`<thing>: <axis>`,6,1,4
amulet.lua,9,Aul's Uprising,Onyx Amulet,9,Dexterity: Purity of Ice,no,`<thing>: <axis>`,6,1,4
amulet.lua,9,Aul's Uprising,Onyx Amulet,10,Intelligence: Clarity,no,`<thing>: <axis>`,6,1,5
amulet.lua,9,Aul's Uprising,Onyx Amulet,11,Intelligence: Discipline,no,`<thing>: <axis>`,6,1,5
amulet.lua,9,Aul's Uprising,Onyx Amulet,12,Intelligence: Malevolence,no,`<thing>: <axis>`,6,1,5
amulet.lua,9,Aul's Uprising,Onyx Amulet,13,Intelligence: Purity of Elements,no,`<thing>: <axis>`,6,1,5
amulet.lua,9,Aul's Uprising,Onyx Amulet,14,Intelligence: Purity of Lightning,no,`<thing>: <axis>`,6,1,5
amulet.lua,9,Aul's Uprising,Onyx Amulet,15,Intelligence: Wrath,no,`<thing>: <axis>`,6,1,5
amulet.lua,9,Aul's Uprising,Onyx Amulet,16,Intelligence: Zealotry,no,`<thing>: <axis>`,6,1,5
amulet.lua,9,Aul's Uprising,Onyx Amulet,17,Envy,no,names an axis other than a version,6,1,4
amulet.lua,10,The Aylardex,Agate Amulet,1,Pre 2.5.0,yes,bare `Pre <version>`,7,1,6
amulet.lua,10,The Aylardex,Agate Amulet,2,Current,no,`Current`,8,1,6
