row_key,name,base,league,entries_bound,variants_considered,selections_considered,fitting_labels,outcome_strict,either_strict,fitting_selections,outcome,either,moved_by,lines_rescaled,catalyst_quality,catalyst_descriptor,catalyst_percent,other_arrays,fit_line_flags,none_reason,none_line
58072078a817,Death Rush,Amethyst Ring,Standard,1,3,3,Pre 3.19.0,one,no,Pre 3.19.0,one,no,,0,no,,,,,,
9a04bc6b2088,Storm Prison,Carved Wand,Standard,1,3,3,Pre 2.3.0;Pre 3.21.0,several,no,Pre 2.3.0;Pre 3.21.0,several,no,,0,no,,,,,,
fdfdc1da76f9,Willclash,Golden Mask,Standard,1,1,1,,none,no,,none,no,,0,no,,,,,no-text-match,+1 to Maximum Power Charges
bb196a45b7b6,Graven's Secret,Cloth Belt,Standard,1,2,2,,none,no,,none,no,,0,no,,,,,no-text-match,12% increased Movement Speed during any Flask Effect
26632ecd8890,Stormshroud,Viridian Jewel,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
6864ef66faef,Malachai's Loop,Harmonic Spirit Shield,Standard,1,4,4,,none,no,,none,no,,0,no,,,,,no-text-match,+5% Chance to Block
2306bf31cf71,Foulborn The Pandemonius,Jade Amulet,Standard,0,0,0,,unbound,no,,unbound,no,,0,yes,Elemental Damage,20,,mutated,,
48c1fa4fe801,Foulborn Romira's Banquet,Diamond Ring,Standard,0,0,0,,unbound,no,,unbound,no,,0,yes,Critical,20,,mutated,,
74982f6ee652,Militant Faith,Timeless Jewel,Standard,1,20,1350,,none,no,Dominus (Inner Conviction) | Elemental Damage | Elemental Resistances,one,no,selection,0,no,,,,,,
e7d97179ba27,Watcher's Eye,Prismatic Jewel,Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,,,
1bfa99c10624,Foulborn The Blue Dream,Cobalt Jewel,Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,mutated,,
cb3c421b73f5,Foulborn Badge of the Brotherhood,Turquoise Amulet,Standard,0,0,0,,unbound,no,,unbound,no,,0,yes,Attribute,20,enchantMods,mutated,,
af739510b636,Foulborn Le Heup of All,Iron Ring,Standard,0,0,0,,unbound,no,,unbound,no,,0,yes,Defence,20,,mutated,,
0780a1902247,Ralakesh's Impatience,Riveted Boots,Standard,1,5,5,Power Current,one,no,Power Current,one,no,,0,no,,,,,,
53f1489d3c9e,Foulborn Tulfall,Opal Wand,Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,mutated,,
d191a81a2cd5,The Embalmer,Carnal Mitts,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
59927ed62513,Circle of Nostalgia,Amethyst Ring,Standard,1,7,28,,none,no,,none,no,,0,no,,,,,no-text-match,12% increased Cold Damage
72a124e14510,Coralito's Signature,Diamond Flask,Standard,1,2,2,Pre 3.15.0,one,no,Pre 3.15.0,one,no,,0,no,,,utilityMods,,,
351133208fc9,Fenumus' Weave,Carnal Mitts,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
b6252eaf5299,The Wasp Nest,Throat Stabber,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
f144d4cc0aa0,Witchfire Brew,Stibnite Flask,Standard,1,3,3,Pre 3.15.0,one,no,Pre 3.15.0,one,no,,0,no,,,utilityMods,,,
2040dbbf8708,The Wasp Nest,Throat Stabber,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
ab46ffbd303b,Impresence,Onyx Amulet,Standard,1,5,5,Chaos,one,no,Chaos,one,no,,0,no,,,enchantMods,,,
8996cd2798a4,Cinderswallow Urn,Silver Flask,Standard,1,18,171,,none,no,Life Regen | Pre 3.15.0,one,no,selection,0,no,,,utilityMods,crafted,,
07609368f1cd,"Caer Blaidd, Wolfpack's Den",Map (Tier 16),Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,,,
c781b6c886bf,"Caer Blaidd, Wolfpack's Den",Map (Tier 16),Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,,,
0500c68a8ecd,Mao Kun,Map (Tier 16),Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,,,
693d278c8217,Mao Kun,Map (Tier 16),Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,,,
9fb488659984,Mao Kun,Map (Tier 16),Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,,,
39ff193dcdae,Mao Kun,Map (Tier 16),Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,,,
0cdc1e30cc88,Poorjoy's Asylum,Map (Tier 16),Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,,,
3083e27175fe,Poorjoy's Asylum,Map (Tier 11),Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,,,
2e1bf18a3a26,Poorjoy's Asylum,Map (Tier 16),Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,,,
3081e70254bb,Poorjoy's Asylum,Map (Tier 16),Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,,,
725d2bfd6cd4,Maelström of Chaos,Map (Tier 16),Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,,,
493d935c5d0a,Maelström of Chaos,Map (Tier 16),Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,,,
af09bf73b372,Oba's Cursed Trove,Map (Tier 16),Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,,,
ed651bf6802e,Twisted Distant Memory,Map (Tier 16),Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,,,
9381c2ca6a0e,Olmec's Sanctum,Map (Tier 16),Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,,,
d2607f4b5ad9,Olmec's Sanctum,Map (Tier 16),Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,,,
c238cf54292d,Olmec's Sanctum,Map (Tier 16),Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,,,
1dcdd848b0df,Whakawairua Tuahu,Map (Tier 15),Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,,,
7d5f9e1f1170,Whakawairua Tuahu,Map (Tier 7),Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,,,
b494f5815973,Whakawairua Tuahu,Map (Tier 16),Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,,,
0e85dabab367,The Coward's Trial,Map (Tier 14),Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,,,
a14330b6e784,Hallowed Ground,Map (Tier 16),Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,,,
5fe32bad770d,Hallowed Ground,Map (Tier 16),Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,,,
65a4b66d3e3c,Hallowed Ground,Map (Tier 16),Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,,,
5f2809e04398,Cortex,Map (Tier 16),Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,,,
f382d9584354,Hall of Grandmasters,Map (Tier 16),Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,,,
1c6f7211efdc,Hall of Grandmasters,Map (Tier 16),Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,,,
7a8140928b75,Hall of Grandmasters,Map (Tier 16),Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,,,
15b13aaea6d9,Acton's Nightmare,Map (Tier 16),Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,,,
431306b5a7f5,Mother's Embrace,Heavy Belt,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
9fcc792c13ba,Leash of Oblation,Leather Belt,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
e3476a48f89f,Cyclopean Coil,Leather Belt,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
b755c87002b7,Darkness Enthroned,Stygian Vise,Standard,1,3,3,Current,one,no,Current,one,no,,0,no,,,,,,
86f94b474341,Dyadian Dawn,Heavy Belt,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
383e7b17e4d5,The Burden of Truth,Crystal Belt,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
fa9bcd629666,Prismweave,Rustic Sash,Standard,1,3,3,Current,one,no,Current,one,no,,0,no,,,,,,
faff2abce97d,Perseverance,Vanguard Belt,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
f8a3bfb10315,Foulborn Saresh's Darkness,Chain Belt,Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,mutated,,
8c15128460e6,Belt of the Deceiver,Heavy Belt,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
2daf3f2b676c,Headhunter,Leather Belt,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
454a89b10a1b,Meginord's Girdle,Heavy Belt,Standard,1,2,2,,none,no,,none,no,,0,no,,,,,no-text-match,Hatred has 16% increased Aura Effect
aff2ac5f2b46,Mark of the Doubting Knight,Platinum Kris,Standard,1,4,4,Current,one,no,Current,one,no,,0,no,,,,,,
11075aba03be,Foulborn The Consuming Dark,Fiend Dagger,Standard,0,0,0,,unbound,no,,unbound,no,,0,no,,,,mutated,,
f246c5c6515f,Ghostwrithe,Silken Vest,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
fbbd04a588a0,Daresso's Defiance,Full Dragonscale,Standard,1,6,6,Current;Pre 3.26.0,several,yes,Current;Pre 3.26.0,several,yes,,0,no,,,,,,
354a944276ee,Servant of Decay,Torturer Garb,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
e73448cc8787,Shroud of the Lightless,Carnal Armour,Standard,1,7,7,Two Abyssal Sockets (Current),one,no,Two Abyssal Sockets (Current),one,no,,0,no,,,,,,
d7d648493ac6,Atziri's Splendour,Sacrificial Garb,Standard,1,18,18,Current (Evasion);Pre 3.0.0 (Evasion),several,yes,Current (Evasion);Pre 3.0.0 (Evasion),several,yes,,0,no,,,,,,
adac7628425b,Tinkerskin,Sadist Garb,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
df9c104e41ca,Farrul's Fur,Triumphant Lamellar,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
1ee5a98ea9e5,Bronn's Lithe,Cutthroat's Garb,Standard,1,4,4,Current,one,no,Current,one,no,,0,no,,,,,,
deaac2983379,Seven Teachings,Waxed Garb,Standard,1,1,1,only,one,no,only,one,no,,0,no,,,,,,
9b25f1fb2cb0,Ashrend,Buckskin Tunic,Standard,1,3,3,Current,one,no,Current,one,no,,0,no,,,,,,
d9714946db58,Lightning Coil,Desert Brigandine,Standard,1,3,3,Current,one,no,Current,one,no,,0,no,,,,,,
a6fae95737e7,Soul Mantle,Spidersilk Robe,Standard,1,5,5,Current,one,no,Current,one,no,,0,no,,,,,,
45df820fbbab,Voidwalker,Murder Boots,Standard,1,2,2,Current,one,no,Current,one,no,,0,no,,,,,,
