# generated by scripts/stat-model.py from awakened-poe-trade@ce551eb7 renderer/public/data/en/stats.ndjson, ../trade-query/data/stats-2026-09-12.json, ../trade-query/data/stat-collisions.csv, ../repoe/data/trade-stat-map.csv
trade_id,category,capture_text,capture_option,apt_carries,apt_ref,apt_container,apt_group_strat,apt_ids_in_category,apt_ref_equals_capture_text,collision,collision_size,collision_verdict,repoe_english
crafted.stat_1002362373,crafted,#% increased Melee Damage,,yes,#% increased Melee Damage,group,select,1,yes,no,,,yes
crafted.stat_1004011302,crafted,#% increased Cooldown Recovery Rate,,yes,#% increased Cooldown Recovery Rate,group,select,1,yes,no,,,yes
crafted.stat_1037193709,crafted,Adds # to # Cold Damage (Local),,yes,Adds # to # Cold Damage,group,select,1,no,no,,,yes
crafted.stat_1050105434,crafted,+# to maximum Mana,,yes,+# to maximum Mana,plain,,1,yes,no,,,yes
crafted.stat_1062208444,crafted,#% increased Armour (Local),,yes,#% increased Armour,group,select,1,no,no,,,yes
crafted.stat_1073942215,crafted,#% increased Freeze Duration on Enemies,,yes,#% increased Freeze Duration on Enemies,plain,,1,yes,no,,,yes
crafted.stat_1079239905,crafted,Socketed Gems are Supported by Level # Lifetap,,yes,Socketed Gems are Supported by Level # Lifetap,plain,,1,yes,no,,,yes
crafted.stat_1086147743,crafted,#% increased Ignite Duration on Enemies,,yes,#% increased Ignite Duration on Enemies,plain,,1,yes,no,,,yes
crafted.stat_1101403182,crafted,#% reduced Damage taken from Damage Over Time,,yes,#% reduced Damage taken from Damage Over Time,plain,,1,yes,no,,,yes
crafted.stat_1133016593,crafted,Adds # to # Fire Damage to Spells,,yes,Adds # to # Fire Damage to Spells,plain,,1,yes,no,,,yes
crafted.stat_114734841,crafted,Flasks applied to you have #% increased Effect,,yes,Flasks applied to you have #% increased Effect,plain,,1,yes,no,,,yes
crafted.stat_1149326139,crafted,Cannot roll Caster Modifiers,,yes,Cannot roll Caster Modifiers,group,trivial-merge,1,yes,no,,,yes
crafted.stat_1172810729,crafted,#% chance to deal Double Damage,,yes,#% chance to deal Double Damage,plain,,1,yes,no,,,yes
crafted.stat_1177358866,crafted,#% increased Movement Speed if you haven't been Hit Recently,,yes,#% increased Movement Speed if you haven't been Hit Recently,group,trivial-merge,1,yes,no,,,yes
crafted.stat_1178188780,crafted,Channelling Skills Cost +# Mana,,yes,Channelling Skills Cost +# Mana,plain,,1,yes,no,,,yes
crafted.stat_118398748,crafted,#% increased Trap Throwing Speed,,yes,#% increased Trap Throwing Speed,plain,,1,yes,no,,,yes
crafted.stat_1225383362,crafted,+# to maximum number of Skeletons,,yes,+# to maximum number of Skeletons,plain,,1,yes,no,,,yes
crafted.stat_124859000,crafted,#% increased Evasion Rating (Local),,yes,#% increased Evasion Rating,group,select,1,no,no,,,yes
crafted.stat_1310194496,crafted,#% increased Global Physical Damage,,yes,#% increased Global Physical Damage,plain,,1,yes,no,,,yes
crafted.stat_1314617696,crafted,+#% to Physical Damage over Time Multiplier,,yes,+#% to Physical Damage over Time Multiplier,plain,,1,yes,no,,,yes
crafted.stat_1316278494,crafted,#% increased Warcry Speed,,yes,#% increased Warcry Speed,plain,,1,yes,no,,,yes
crafted.stat_1334060246,crafted,Adds # to # Lightning Damage,,yes,Adds # to # Lightning Damage,group,select,1,yes,no,,,yes
crafted.stat_1335054179,crafted,#% chance to Ignite,,yes,#% chance to Ignite,plain,,1,yes,no,,,yes
crafted.stat_1349659520,crafted,Your Critical Strike Chance is Lucky while Focused,,yes,Your Critical Strike Chance is Lucky while Focused,plain,,1,yes,no,,,yes
crafted.stat_1379411836,crafted,+# to all Attributes,,yes,+# to all Attributes,plain,,1,yes,no,,,yes
crafted.stat_1412217137,crafted,#% increased Flask Mana Recovery rate,,yes,#% increased Flask Mana Recovery rate,plain,,1,yes,no,,,yes
crafted.stat_1423639565,crafted,Minions have +#% to all Elemental Resistances,,yes,Minions have +#% to all Elemental Resistances,plain,,1,yes,no,,,yes
crafted.stat_1435748744,crafted,Curse Skills have #% increased Skill Effect Duration,,yes,Curse Skills have #% increased Skill Effect Duration,plain,,1,yes,no,,,yes
crafted.stat_1445684883,crafted,Reflects # to # Physical Damage to Attackers on Block,,yes,Reflects # to # Physical Damage to Attackers on Block,plain,,1,yes,no,,,yes
crafted.stat_1452809865,crafted,#% increased Flask Charges gained,,yes,#% increased Flask Charges gained,plain,,1,yes,no,,,yes
crafted.stat_1468606528,crafted,Trigger Level 10 Summon Spectral Wolf on Kill,,yes,Trigger Level 10 Summon Spectral Wolf on Kill,plain,,1,yes,no,,,yes
crafted.stat_1478653032,crafted,#% reduced Effect of Chill on you,,yes,#% reduced Effect of Chill on you,plain,,1,yes,no,,,yes
crafted.stat_1509134228,crafted,#% increased Physical Damage,,yes,#% increased Physical Damage,plain,,1,yes,no,,,yes
crafted.stat_1514829491,crafted,#% chance to Avoid being Frozen,,yes,#% chance to Avoid being Frozen,plain,,1,yes,no,,,yes
crafted.stat_1519474779,crafted,#% increased Effect of Non-Damaging Ailments on you,,yes,#% increased Effect of Non-Damaging Ailments on you,plain,,1,yes,no,,,yes
crafted.stat_1519615863,crafted,#% chance to cause Bleeding on Hit,,yes,#% chance to cause Bleeding on Hit,plain,,1,yes,no,,,yes
crafted.stat_1533563525,crafted,#% of Physical Damage Converted to Fire Damage,,yes,#% of Physical Damage Converted to Fire Damage,plain,,1,yes,no,,,yes
crafted.stat_1535626285,crafted,+# to Strength and Intelligence,,yes,+# to Strength and Intelligence,group,trivial-merge,1,yes,no,,,yes
crafted.stat_1538773178,crafted,#% chance to Shock,,yes,#% chance to Shock,plain,,1,yes,no,,,yes
crafted.stat_1539825365,crafted,+# to Armour during Soul Gain Prevention,,yes,+# to Armour during Soul Gain Prevention,plain,,1,yes,no,,,yes
crafted.stat_1572897579,crafted,You have Onslaught during Soul Gain Prevention,,yes,You have Onslaught during Soul Gain Prevention,plain,,1,yes,no,,,yes
crafted.stat_1573130764,crafted,Adds # to # Fire Damage to Attacks,,yes,Adds # to # Fire Damage to Attacks,plain,,1,yes,no,,,yes
crafted.stat_1583385065,crafted,#% increased Damage with Non-Vaal Skills during Soul Gain Prevention,,yes,#% increased Damage with Non-Vaal Skills during Soul Gain Prevention,plain,,1,yes,no,,,yes
crafted.stat_1588539856,crafted,#% of Damage is taken from Mana before Life while Focused,,yes,#% of Damage is taken from Mana before Life while Focused,plain,,1,yes,no,,,yes
crafted.stat_1589917703,crafted,Minions deal #% increased Damage,,yes,Minions deal #% increased Damage,plain,,1,yes,no,,,yes
crafted.stat_1599775597,crafted,Gain #% of Fire Damage as Extra Chaos Damage,,yes,Gain #% of Fire Damage as Extra Chaos Damage,plain,,1,yes,no,,,yes
crafted.stat_1618589784,crafted,#% chance to Avoid Bleeding,,yes,#% chance to Avoid Bleeding,plain,,1,yes,no,,,yes
crafted.stat_1653010703,crafted,+#% to Non-Ailment Chaos Damage over Time Multiplier,,no,,,,,,no,,,yes
crafted.stat_1658124062,crafted,Attack Projectiles Return to you,,yes,Attack Projectiles Return to you,plain,,1,yes,no,,,yes
crafted.stat_1671376347,crafted,+#% to Lightning Resistance,,yes,+#% to Lightning Resistance,plain,,1,yes,no,,,yes
crafted.stat_1702195217,crafted,+#% Chance to Block Attack Damage,,yes,+#% Chance to Block Attack Damage,group,trivial-merge,1,yes,no,,,yes
crafted.stat_174664100,crafted,Minions have #% increased Movement Speed,,yes,Minions have #% increased Movement Speed,plain,,1,yes,no,,,yes
crafted.stat_1754445556,crafted,Adds # to # Lightning Damage to Attacks,,yes,Adds # to # Lightning Damage to Attacks,plain,,1,yes,no,,,yes
crafted.stat_1766730250,crafted,You are Immune to Ailments while Focused,,yes,You are Immune to Ailments while Focused,plain,,1,yes,no,,,yes
