# generated by scripts/base-defences.py from poe1/data/base_items.json @ e2bd511a
metadata_id,name,item_class,release_state,domain,armour_min,armour_max,evasion_min,evasion_max,energy_shield_min,energy_shield_max,ward_min,ward_max,block
Metadata/Items/Armours/Gloves/GlovesIntRitual2,Aetherwind Gloves,Gloves,released,item,,,,,28,32,,,
Metadata/Items/Armours/Shields/ShieldDexInt10,Alder Spiked Shield,Shield,released,item,,,209,240,43,49,,,24
Metadata/Items/Armours/Shields/ShieldDexInt3,Alloyed Spiked Shield,Shield,released,item,,,56,70,13,16,,,25
Metadata/Items/Armours/Boots/BootsDexInt6,Ambush Boots,Boots,released,item,,,85,95,18,20,,,
Metadata/Items/Armours/Gloves/GlovesDexInt5,Ambush Mitts,Gloves,released,item,,,81,91,17,19,,,
Metadata/Items/Armours/Gloves/GlovesStr6,Ancient Gauntlets,Gloves,released,item,154,173,,,,,,,
Metadata/Items/Armours/Boots/BootsStr6,Ancient Greaves,Boots,released,item,151,174,,,,,,,
Metadata/Items/Armours/Helmets/HelmetDexInt13,Ancient Mask,Helmet,released,item,,,308,355,62,71,,,
Metadata/Items/Armours/Shields/ShieldInt9,Ancient Spirit Shield,Shield,released,item,,,,,38,45,,,24
Metadata/Items/Armours/Shields/ShieldStrInt9,Angelic Kite Shield,Shield,released,item,124,142,,,25,29,,,22
Metadata/Items/Armours/Gloves/GlovesStr5,Antique Gauntlets,Gloves,released,item,129,154,,,,,,,
Metadata/Items/Armours/Boots/BootsStr5,Antique Greaves,Boots,released,item,122,144,,,,,,,
Metadata/Items/Armours/Gloves/GlovesAtlasStrInt,Apothecary's Gloves,Gloves,released,item,108,124,,,29,33,,,
Metadata/Items/Armours/Gloves/GlovesDexRitual2,Apprentice Gloves,Gloves,released,item,,,132,152,,,,,
Metadata/Items/Armours/BodyArmours/BodyInt18,Arcane Vestment,Body Armour,released,item,,,,,196,225,,,
Metadata/Items/Armours/Gloves/GlovesInt8,Arcanist Gloves,Gloves,released,item,,,,,45,52,,,
Metadata/Items/Armours/Boots/BootsInt8,Arcanist Slippers,Boots,released,item,,,,,47,55,,,
Metadata/Items/Armours/Helmets/HelmetStrIntRitual3,Archdemon Crown,Helmet,released,item,185,212,,,38,43,,,
Metadata/Items/Armours/Shields/ShieldStrInt13,Archon Kite Shield,Shield,released,item,156,179,,,32,37,,,22
Metadata/Items/Armours/BodyArmours/BodyStr6,Arena Plate,Body Armour,released,item,324,389,,,,,,,
Metadata/Items/Armours/Boots/BootsDexInt8,Assassin's Boots,Boots,released,item,,,121,139,25,28,,,
Metadata/Items/Armours/BodyArmours/BodyDex17,Assassin's Garb,Body Armour,released,item,,,737,811,,,,,
Metadata/Items/Armours/Gloves/GlovesDexInt7,Assassin's Mitts,Gloves,released,item,,,104,123,21,25,,,
Metadata/Items/Armours/BodyArmours/BodyDex19,Astral Leather,Body Armour,released,item,,,1037,1193,,,,,
Metadata/Items/Armours/BodyArmours/BodyStr15,Astral Plate,Body Armour,released,item,711,782,,,,,,,
Metadata/Items/Armours/Helmets/HelmetStrDexRitual2,Atonement Mask,Helmet,released,item,122,140,122,140,,,,,
Metadata/Items/Armours/Helmets/HelmetStrInt5,Aventail Helmet,Helmet,released,item,101,119,,,21,25,,,
Metadata/Items/Armours/Helmets/HelmetStr3,Barbute Helmet,Helmet,released,item,92,115,,,,,,,
Metadata/Items/Armours/Shields/ShieldStrDex9,Baroque Round Shield,Shield,released,item,122,140,122,140,,,,,25
Metadata/Items/Armours/Boots/BootsStrRitual1,Basemetal Treads,Boots,released,item,68,78,,,,,,,
Metadata/Items/Armours/Helmets/HelmetStrDex1,Battered Helm,Helmet,released,item,13,18,13,18,,,,,
Metadata/Items/Armours/Shields/ShieldDex10,Battle Buckler,Shield,released,item,,,287,330,,,,,26
Metadata/Items/Armours/BodyArmours/BodyStrDex12,Battle Lamellar,Body Armour,released,item,297,341,297,341,,,,,
Metadata/Items/Armours/BodyArmours/BodyStr9,Battle Plate,Body Armour,released,item,412,474,,,,,,,
Metadata/Items/Armours/Helmets/HelmetDexIntRitual3,Blizzard Crown,Helmet,released,item,,,185,212,38,43,,,
Metadata/Items/Armours/BodyArmours/BodyDexInt15,Blood Raiment,Body Armour,released,item,,,436,501,73,84,,,
Metadata/Items/Armours/BodyArmours/BodyDexInt7,Bone Armour,Body Armour,released,item,,,194,233,41,49,,,
Metadata/Items/Armours/Helmets/HelmetInt5,Bone Circlet,Helmet,released,item,,,,,36,40,,,
Metadata/Items/Armours/Helmets/HelmetAtlas1,Bone Helmet,Helmet,released,item,197,227,,,40,46,,,
Metadata/Items/Armours/Shields/ShieldInt3,Bone Spirit Shield,Shield,released,item,,,,,15,19,,,22
Metadata/Items/Armours/Shields/ShieldStrInt10,Branded Kite Shield,Shield,released,item,186,208,,,38,43,,,24
Metadata/Items/Armours/Shields/ShieldInt6,Brass Spirit Shield,Shield,released,item,,,,,35,40,,,25
Metadata/Items/Armours/Boots/BootsStrRitual3,Brimstone Treads,Boots,released,item,236,271,,,,,,,
Metadata/Items/Armours/Gloves/GlovesStr3,Bronze Gauntlets,Gloves,released,item,77,96,,,,,,,
Metadata/Items/Armours/BodyArmours/BodyStr8,Bronze Plate,Body Armour,released,item,373,429,,,,,,,
Metadata/Items/Armours/Shields/ShieldStr10,Bronze Tower Shield,Shield,released,item,290,324,,,,,,,24
Metadata/Items/Armours/Boots/BootsStrDex3,Bronzescale Boots,Boots,released,item,55,63,55,63,,,,,
Metadata/Items/Armours/Gloves/GlovesStrDex3,Bronzescale Gauntlets,Gloves,released,item,50,62,50,62,,,,,
Metadata/Items/Armours/Shields/ShieldStr8,Buckskin Tower Shield,Shield,released,item,177,209,,,,,,,26
Metadata/Items/Armours/BodyArmours/BodyDex3,Buckskin Tunic,Body Armour,released,item,,,176,221,,,,,
Metadata/Items/Armours/Shields/ShieldDexInt4,Burnished Spiked Shield,Shield,released,item,,,62,73,13,16,,,26
Metadata/Items/Armours/BodyArmours/BodyInt7,Cabalist Regalia,Body Armour,released,item,,,,,75,88,,,
Metadata/Items/Armours/Helmets/HelmetDexInt7,Callous Mask,Helmet,released,item,,,122,137,25,28,,,
Metadata/Items/Armours/Shields/ShieldStrDex12,Cardinal Round Shield,Shield,released,item,209,240,209,240,,,,,26
Metadata/Items/Armours/BodyArmours/BodyDexInt17,Carnal Armour,Body Armour,released,item,,,353,388,103,113,,,
Metadata/Items/Armours/Boots/BootsDexInt7,Carnal Boots,Boots,released,item,,,99,117,20,24,,,
Metadata/Items/Armours/Gloves/GlovesDexInt6,Carnal Mitts,Gloves,released,item,,,90,101,19,21,,,
Metadata/Items/Armours/Shields/ShieldStr4,Cedar Tower Shield,Shield,released,item,94,113,,,,,,,25
Metadata/Items/Armours/Shields/ShieldStrInt5,Ceremonial Kite Shield,Shield,released,item,77,89,,,16,19,,,22
Metadata/Items/Armours/Boots/BootsStrInt1,Chain Boots,Boots,released,item,11,15,,,3,5,,,
Metadata/Items/Armours/Gloves/GlovesStrInt1,Chain Gloves,Gloves,released,item,14,20,,,4,6,,,
Metadata/Items/Armours/BodyArmours/BodyStrInt11,Chain Hauberk,Body Armour,released,item,281,314,,,58,65,,,
Metadata/Items/Armours/BodyArmours/BodyStrInt4,Chainmail Doublet,Body Armour,released,item,119,140,,,27,31,,,
