# generated by scripts/base-taxonomy.py from poe1/data/base_items.json and item_classes.json @ e2bd511a, ../trade-query/data/items-2026-09-12.json and filters-2026-09-12.json, the item-facts raw stores (local)
name,item_class,class_name,export_category,release_state,domain,tags,trade_coarse_by_name,trade_id_predicted,basis,corpus_items,corpus_frames
,StackableCurrency,Stackable Currency,Currency,released,undefined,currency default,,currency,class,0,
"""O' Eternal""",QuestItem,Quest Items,Quest Item,released,undefined,default,,,none,0,
"""The Kiss Goodnight""",QuestItem,Quest Items,Quest Item,released,undefined,default,,,none,0,
"""The Nameless Play""",QuestItem,Quest Items,Quest Item,released,undefined,default,,,none,0,
...,Active Skill Gem,Skill Gems,Skill Gem,unreleased,undefined,gem default,,gem.activegem,class,0,
A Chilling Wind,DivinationCard,Divination Cards,Divination Card,released,undefined,gems_divination unique_corrupted_divination gems_levelled_divination gems_quality_divination divination_card default,card,card,class,2,DivinationCard:2
A Dab of Ink,DivinationCard,Divination Cards,Divination Card,released,undefined,weapon_divination unique_divination unique_weapon_divination divination_card default,card,card,class,3,DivinationCard:3
A Dusty Memory,DivinationCard,Divination Cards,Divination Card,released,undefined,divination_card default,card,card,class,1,DivinationCard:1
A Familiar Call,DivinationCard,Divination Cards,Divination Card,released,undefined,jewellery_divination shaper_divination boss_drop_card divination_card default,card,card,class,0,
A Fate Worse Than Death,DivinationCard,Divination Cards,Divination Card,released,undefined,unique_divination corrupted_divination unique_corrupted_divination maps_divination maps_unique_divination divination_card default,card,card,class,1,DivinationCard:1
A Modest Request,DivinationCard,Divination Cards,Divination Card,released,undefined,jewellery_divination unique_divination corrupted_divination unique_corrupted_divination unique_jewellery_divination boss_drop_card divination_card default,card,card,class,1,DivinationCard:1
A Mother's Parting Gift,DivinationCard,Divination Cards,Divination Card,released,undefined,jewellery_divination unique_divination unique_jewellery_divination corrupted_divination unique_corrupted_divination divination_card default,card,card,class,3,DivinationCard:3
A Note in the Wind,DivinationCard,Divination Cards,Divination Card,released,undefined,armour_divination unique_divination unique_armour_divination divination_card default,card,card,class,1,DivinationCard:1
A Sea of Blue,DivinationCard,Divination Cards,Divination Card,released,undefined,currency_divination currency_basic_divination divination_card default,card,card,class,3,DivinationCard:3
A Stone Perfected,DivinationCard,Divination Cards,Divination Card,released,undefined,jewellery_divination unique_divination corrupted_divination unique_corrupted_divination unique_jewellery_divination divination_card default,card,card,class,1,DivinationCard:1
Abandoned Wealth,DivinationCard,Divination Cards,Divination Card,released,undefined,currency_divination currency_basic_divination divination_card default,card,card,class,4,DivinationCard:4
Abberathine Horns,HeistObjective,Heist Targets,Heist Target,released,undefined,default,currency,currency.heistobjective,class,0,
Aberrant Fossil,StackableCurrency,Stackable Currency,Currency,released,undefined,currency default,currency,currency.fossil,class + name rule,4,Currency:4
Abomination Map,Map,Maps,Map,released,area,not_for_sale cannot_be_twinned swamp cave mountain indoors_area map_force_6_mods map default,,map,class,0,
Abrasive Catalyst,StackableCurrency,Stackable Currency,Currency,released,undefined,catalyst currency default,currency,currency,class,3,Currency:3
Absolution,Active Skill Gem,Skill Gems,Skill Gem,released,undefined,gem default,gem,gem.activegem,class,6,Gem:6
Abyss Scarab,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content abyss_scarab common_scarab default,map,map.scarab,class + name rule,4,Normal:4
Abyss Scarab of Crystals,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content abyss_scarab rare_scarab default,map,map.scarab,class + name rule,3,Normal:3
Abyss Scarab of Descending,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content abyss_scarab rare_scarab default,map,map.scarab,class + name rule,3,Normal:3
Abyss Scarab of Multitudes,MapFragment,Map Fragments,Map Fragment,released,undefined,scarab scarab_grants_extra_content abyss_scarab uncommon_scarab default,map,map.scarab,class + name rule,3,Normal:3
