# generated by scripts/base-taxonomy.py from poe1/data/base_items.json and item_classes.json @ e2bd511a, ../trade-query/data/items-2026-09-12.json and filters-2026-09-12.json, the item-facts raw stores (local)
item_class,class_name,export_category,trade_id,basis,name_rules,bases,released,corpus_items
LifeFlask,Life Flasks,Flask,flask,class,,12,12,389
ManaFlask,Mana Flasks,Flask,flask,class,,12,12,242
HybridFlask,Hybrid Flasks,Flask,flask,class,,6,6,53
Currency,Currency,Currency,currency,class,,1,0,0
Amulet,Amulets,Amulet,accessory.amulet,class,,89,87,926
Ring,Rings,Ring,accessory.ring,class,,41,39,1618
Claw,Claws,Claw,weapon.claw,class,,28,28,138
Dagger,Daggers,Dagger,weapon.basedagger,class,,14,14,56
Wand,Wands,Wand,weapon.wand,class,,28,28,415
One Hand Sword,One Hand Swords,One Hand Sword,weapon.basesword,class,,31,30,143
Thrusting One Hand Sword,Thrusting One Hand Swords,One Hand Sword,weapon.rapier,class,,25,25,103
One Hand Axe,One Hand Axes,One Hand Axe,weapon.oneaxe,class,,28,28,62
One Hand Mace,One Hand Maces,One Hand Mace,weapon.basemace,class,,28,28,94
Bow,Bows,Bow,weapon.bow,class,,29,29,217
Staff,Staves,Staff,weapon.basestaff,class,,16,16,91
Two Hand Sword,Two Hand Swords,Two Hand Sword,weapon.twosword,class,,26,25,107
Two Hand Axe,Two Hand Axes,Two Hand Axe,weapon.twoaxe,class,,25,25,116
Two Hand Mace,Two Hand Maces,Two Hand Mace,weapon.twomace,class,,25,25,71
Active Skill Gem,Skill Gems,Skill Gem,gem.activegem,class,,417,376,4165
Support Skill Gem,Support Gems,Support Gem,gem.supportgem,class,gem.supportgemplus,274,268,2388
Quiver,Quivers,Quiver,armour.quiver,class,,20,14,198
Belt,Belts,Belt,accessory.belt,class,,14,13,590
Gloves,Gloves,Gloves,armour.gloves,class,,80,79,650
Boots,Boots,Boots,armour.boots,class,,81,79,696
Body Armour,Body Armours,Body Armour,armour.chest,class,,124,122,736
Helmet,Helmets,Helmet,armour.helmet,class,,96,94,1089
Shield,Shields,Shield,armour.shield,class,,98,97,492
SmallRelic,Small Relics,,,none,,0,0,0
MediumRelic,Medium Relics,,,none,,0,0,0
LargeRelic,Large Relics,,,none,,0,0,0
StackableCurrency,Stackable Currency,Currency,currency,class,currency.fossil currency.omen currency.tattoo,658,655,1267
QuestItem,Quest Items,Quest Item,,none,,197,197,173
Sceptre,Sceptres,One Hand Mace,weapon.sceptre,class,,28,28,156
UtilityFlask,Utility Flasks,Flask,flask,class,,18,18,2583
UtilityFlaskCritical,Critical Utility Flasks,Flask,flask,class,,0,0,0
Map,Maps,Map,map,class,,232,232,4
Unarmed,,,,none,,0,0,0
FishingRod,Fishing Rods,Fishing Rod,weapon.rod,class,,1,1,0
MapFragment,Map Fragments,Map Fragment,map.fragment,class,map.scarab,280,280,553
HideoutDoodad,Hideout Doodads,,,none,,0,0,0
Microtransaction,Microtransactions,,,none,,2,2,0
Jewel,Jewels,Jewel,jewel.base,class,jewel.cluster,8,6,1412
DivinationCard,Divination Cards,Divination Card,card,class,,470,469,884
LabyrinthItem,Labyrinth Items,Labyrinth Key,,none,,3,3,0
LabyrinthTrinket,Labyrinth Trinkets,Labyrinth Trinket,,none,,10,10,0
LabyrinthMapItem,Labyrinth Map Items,Map Fragment,map.fragment,class,,0,0,0
MiscMapItem,Misc Map Items,Misc Map Item,map,class,map.invitation,17,17,570
Leaguestone,Leaguestones,Leaguestone,leaguestone,class,,17,17,0
PantheonSoul,Pantheon Souls,Captured Soul,,none,,20,20,0
UniqueFragment,Pieces,Unique Piece,currency.piece,class,,8,8,39
AbyssJewel,Abyss Jewels,Abyss Jewel,jewel.abyss,class,,5,5,218
IncursionItem,Incursion Items,Incursion Item,,none,,2,2,0
DelveSocketableCurrency,Delve Socketable Currency,Resonator,currency.resonator,class,,8,8,19
Incubator,Incubators,Incubator,currency.incubator,class,,30,30,105
UniqueShard,Shards,,,none,,0,0,0
UniqueShardBase,Shard Hearts,,,none,,0,0,0
Rune Dagger,Rune Daggers,Dagger,weapon.runedagger,class,,18,18,116
Warstaff,Warstaves,Staff,weapon.warstaff,class,,12,12,102
DelveStackableSocketableCurrency,Delve Stackable Socketable Currency,Resonator,currency.resonator,class,,0,0,0
AtlasUpgradeItem,Atlas Upgrade Items,Watchstone,,none,,33,33,0
MetamorphosisDNA,Metamorph Samples,Metamorph Sample,,none,,5,5,0
HiddenItem,Hidden Items,,,none,,56,56,0
DONOTUSE1,,,,none,,0,0,0
DONOTUSE2,,,,none,,0,0,0
DONOTUSE3,,,,none,,0,0,0
HeistContract,Contracts,Contract,heistmission.contract,class,,15,15,2641
HeistEquipmentWeapon,Heist Gear,Heist Gear,heistequipment.heistweapon,class,,13,13,35
HeistEquipmentTool,Heist Tools,Heist Tool,heistequipment.heisttool,class,,37,37,55
HeistEquipmentUtility,Heist Cloaks,Heist Cloak,heistequipment.heistutility,class,,5,5,43
HeistEquipmentReward,Heist Brooches,Heist Brooch,heistequipment.heistreward,class,,5,5,66
HeistBlueprint,Blueprints,Blueprint,heistmission.blueprint,class,,9,9,303
Trinket,Trinkets,Trinket,accessory.trinket,class,,1,1,14
HeistObjective,Heist Targets,Heist Target,currency.heistobjective,class,,47,47,1
ExpeditionLogbook,Expedition Logbooks,Expedition Logbook,logbook,class,,1,1,0
IncubatorStackable,Incubators,Incubator,currency.incubator,class,,3,3,0
ArchnemesisMod,Archnemesis Mods,,,none,,1,1,0
DONOTUSE4,,,,none,,0,0,0
DONOTUSE5,,,,none,,0,0,0
DONOTUSE6,,,,none,,0,0,0
DONOTUSE7,,,,none,,0,0,0
InstanceLocalItem,Instance Local Items,Instance Local Item,map,class,,22,22,0
SentinelDrone,Sentinels,Sentinel Drone,,none,,26,26,0
MemoryLine,Memories,Memory,memoryline,class,,4,4,0
Relic,Relics,Relic,sanctum.relic,class,,14,14,39
SanctumSpecialRelic,Sanctified Relics,Relic,sanctum.relic,class,,1,1,0
Breachstone,Breachstones,Breachstone,map.breachstone,class,,20,20,0
GiftBox,,,,none,,1,1,0
VaultKey,Vault Keys,Vault Key,map,class,,14,14,3
ItemisedSanctum,Sanctum Research,Misc Map Item,sanctum.research,class,,5,5,244
Tincture,Tinctures,Tincture,tincture,class,,10,10,19
ItemisedCorpse,Corpses,Corpse,corpse,class,,114,114,1
AnimalCharm,Charms,Charm,,none,,3,3,0
NecropolisPack,Embers of the Allflame,Ember of the Allflame,,none,,70,70,0
Gold,Gold,Currency,currency,class,,1,1,0
AtlasRelic,Idols,Idol,idol,class,,6,6,22
DONOTUSE8,,,,none,,0,0,0
BrequelFruit,Wombgifts,Wombgift,wombgift,class,,4,4,50
MapKey,Maps,Map,map,class,,19,19,7428
RemovedItem,,,graft,class,,18,18,0
DeepwaterChart,Chart,Chart,chart,class,,4,4,0
CocoonedItem,Enshrouded Items,Enshrouded Item,enshrouded,class,,5,5,1
GhostItem,,,,none,,0,0,0
CursedDucat,Cursed Ducat,Cursed Ducat,,none,,6,6,0
