# generated by scripts/hash-check.py from PathOfBuilding/src/Data/Mod*.lua @ 16de4b82, poe1/data/mods.json and stat_translations.json @ e2bd511a, ../trade-query/data/stats-2026-09-12.json
trade_number,group,class,reason,mods,table,mod,pob_description,export_numbers,capture_categories,export_string
239144,local_tincture_cooldown_recovery_+%,explained,stat group has no translation entry,5,ModItemExclusive,TinctureCooldownRecoveryUnique__1,(20-40)% increased Cooldown Recovery Rate,,explicit,
536957,lightning_damage_+%_while_affected_by_herald_of_thunder,reproduced,,1,ModItemExclusive,HeraldBonusThunderLightningDamage,(40-60)% increased Lightning Damage while affected by Herald of Thunder,536957,explicit,{0}% increased Lightning Damage while affected by Herald of Thunder
1540840,local_display_grants_skill_scorching_ray_level,reproduced,,1,ModItemExclusive,ScorchingRaySkillUnique__1,Grants Level 25 Scorching Ray Skill,1540840,explicit,Grants Level {0} Scorching Ray Skill
1679136,local_display_socketed_gems_supported_by_level_x_fragility,reproduced,,2,ModCorrupted,V2SupportedByCrueltyCorrupted,Socketed Gems are Supported by Level 10 Cruelty,1679136,explicit implicit,Socketed Gems are Supported by Level {0} Cruelty
3303015,attack_minimum_added_physical_damage_with_claws|attack_maximum_added_physical_damage_with_claws,reproduced,,5,ModJewelAbyss,AbyssAddedPhysicalDamageWithClawsJewel1,2 to 3 Added Physical Damage with Claw Attacks,3303015,explicit fractured,{0} to {1} Added Physical Damage with Claw Attacks
3418772,local_display_socketed_gems_have_chance_to_flee_%,reproduced,,1,ModItemExclusive,SocketedItemsHaveChanceToFleeUniqueClaw6,Socketed Gems have 10% chance to cause Enemies to Flee on Hit,3418772,explicit,Socketed Gems have {0}% chance to cause Enemies to Flee on Hit
3998316,local_affliction_notable_ancestral_might,reproduced,,1,ModJewelCluster,AfflictionNotableAncestralMight,1 Added Passive Skill is Ancestral Might,3998316,explicit fractured,1 Added Passive Skill is Ancestral Might
4078695,max_frenzy_charges,reproduced,,19,ModCorrupted,MaxFrenzyChargesCorrupted,+1 to Maximum Frenzy Charges,4078695,enchant explicit fractured implicit scourge,{0} to Maximum Frenzy Charges
5955083,number_of_additional_mines_to_place_with_at_least_500_int,reproduced,,2,ModItemExclusive,PlaceAdditionalMineWith600IntelligenceUnique__1,Skills which throw Mines throw up to 1 additional Mine if you have at least 800 Intelligence,5955083,explicit implicit,Skills which throw Mines throw up to 1 additional Mine if you have at least 800 Intelligence
6637015,flask_charges_granted_from_tinctured_weapon_kills_+%,explained,stat group has no translation entry,4,ModTincture,TinctureFlaskChargeIncrease1,(11-15)% increased Flask Charges gained from Kills with Melee Weapons,,explicit,
7847395,phantasm_refresh_duration_on_hit_vs_rare_or_unique_%_chance,reproduced,,3,ModDelve,SpiritAndPhantasmRefreshOnUniqueDelve,Summoned Phantasms have 5% chance to refresh their Duration when they Hit a Rare or Unique Enemy,7847395,explicit fractured implicit,Summoned Phantasms have {0}% chance to refresh their Duration when they Hit a Rare or Unique Enemy
