# generated by scripts/mod-stat-index.py from poe1/data/mods.json @ e2bd511a
id,name,type,domain,generation_type,required_level,n_stats,stats,spawn_weights,generation_weights,adds_tags,implicit_tags,essence_only
Strength1,of the Brute,Strength,item,suffix,1,1,additional_strength:8:12,ring:1000 amulet:1000 belt:1000 str_armour:1000 str_dex_armour:500 str_int_armour:500 str_dex_int_armour:333 sword:500 mace:1000 sceptre:500 staff:500 axe:500 default:0,,,attribute,
Strength2,of the Wrestler,Strength,item,suffix,11,1,additional_strength:13:17,ring:1000 amulet:1000 belt:1000 str_armour:1000 str_dex_armour:500 str_int_armour:500 str_dex_int_armour:333 sword:500 mace:1000 sceptre:500 staff:500 axe:500 default:0,,,attribute,
Strength3,of the Bear,Strength,item,suffix,22,1,additional_strength:18:22,ring:1000 amulet:1000 belt:1000 str_armour:1000 str_dex_armour:500 str_int_armour:500 str_dex_int_armour:333 sword:500 mace:1000 sceptre:500 staff:500 axe:500 default:0,,,attribute,
Strength4,of the Lion,Strength,item,suffix,33,1,additional_strength:23:27,ring:1000 amulet:1000 belt:1000 str_armour:1000 str_dex_armour:500 str_int_armour:500 str_dex_int_armour:333 sword:500 mace:1000 sceptre:500 staff:500 axe:500 default:0,,,attribute,
Strength5,of the Gorilla,Strength,item,suffix,44,1,additional_strength:28:32,ring:1000 amulet:1000 belt:1000 str_armour:1000 str_dex_armour:500 str_int_armour:500 str_dex_int_armour:333 sword:500 mace:1000 sceptre:500 staff:500 axe:500 default:0,,,attribute,
Strength6,of the Goliath,Strength,item,suffix,55,1,additional_strength:33:37,ring:1000 amulet:1000 belt:1000 str_armour:1000 str_dex_armour:500 str_int_armour:500 str_dex_int_armour:333 sword:500 mace:1000 sceptre:500 staff:500 axe:500 default:0,,,attribute,
Strength7,of the Leviathan,Strength,item,suffix,66,1,additional_strength:38:42,ring:1000 amulet:1000 belt:1000 str_armour:1000 str_dex_armour:500 str_int_armour:500 str_dex_int_armour:333 sword:500 mace:1000 sceptre:500 staff:500 axe:500 default:0,,,attribute,
Strength8,of the Titan,Strength,item,suffix,74,1,additional_strength:43:50,ring:1000 amulet:1000 belt:1000 str_armour:1000 str_dex_armour:500 str_int_armour:500 str_dex_int_armour:333 sword:500 mace:1000 sceptre:500 staff:500 axe:500 default:0,,,attribute,
Strength9,of the Gods,Strength,item,suffix,82,1,additional_strength:51:55,ring:1000 amulet:1000 belt:1000 str_armour:1000 str_dex_armour:500 str_int_armour:500 str_dex_int_armour:333 sword:500 mace:1000 sceptre:500 staff:500 axe:500 default:0,,,attribute,
Strength10,of the Godslayer,Strength,item,suffix,85,1,additional_strength:56:60,belt:1000 default:0,,,attribute,
