# generated by scripts/hash-check.py from PathOfBuilding/src/Data/Mod*.lua @ 16de4b82, poe1/data/mods.json and stat_translations.json @ e2bd511a, ../trade-query/data/stats-2026-09-12.json
stat_id,stats_dat_hash,trade_number,attributed_by
%_chance_to_blind_on_critical_strike,607639028,3983981705,export
%_chance_to_blind_on_critical_strike_while_you_have_cats_stealth,2715853475,843854434,export
%_chance_to_cause_bleeding_enemies_to_flee_on_hit,1437031272,2072206041,export
%_chance_to_deal_150%_area_damage_+%_final,2330191558,2289189129,export
%_chance_to_gain_25%_non_chaos_damage_to_add_as_chaos_damage,1938509102,1741279188,export
%_chance_to_gain_frenzy_charge_on_trap_triggered_by_an_enemy,4055932912,3738335639,export
%_chance_to_gain_random_charge_on_trap_triggered_by_an_enemy,3648337098,710805027,export
%_maximum_es_and_life_taken_as_fire_damage_per_minute_per_level_while_in_her_embrace,1622444985,2442112158,export
%_number_of_raging_spirits_allowed,485691558,1186934478,export
%_of_your_and_your_minions_damage_cannot_be_reflected,2376392641,1567747544,export
%_of_your_and_your_minions_elemental_damage_cannot_be_reflected,3448552368,3408683611,export
%_of_your_and_your_minions_physical_damage_cannot_be_reflected,3677842626,1818622832,export
%_of_your_damage_cannot_be_reflected,1216281340,2510655429,export
%_physical_damage_bypasses_energy_shield,1211339691,2649513539,export
+1_max_charged_attack_stages,3698020486,865345996,export
-%_of_your_damage_cannot_be_reflected,1216281340,2510655429,pob
X_accuracy_per_2_intelligence,34529827,2196657026,export
X_armour_if_you_have_blocked_recently,2633893112,4091848539,export
X_armour_per_active_totem,4257091217,1429385513,export
X_armour_per_stackable_unique_jewel,1015267010,1166487805,export
X_life_per_4_dexterity,2539391483,2042405614,export
X_mana_per_4_strength,2839885993,507075051,export
X_mana_per_stackable_unique_jewel,3551169411,2592799343,export
absolution_cast_speed_+%,3692562457,2558170600,export
absolution_duration_+%,281718823,1778800422,export
absolution_minion_area_of_effect_+%,3276961272,771292654,export
abyssal_cry_damage_+%,1544910409,780453137,export
abyssal_cry_duration_+%,4063222334,1934891174,export
accuracy_rating,552754587,803737631,export
accuracy_rating_+%,4041047601,624954515,export
accuracy_rating_+%_during_onslaught,3246220873,2593021351,export
accuracy_rating_+%_if_enemy_not_killed_recently,329583105,2806435316,export
accuracy_rating_+%_if_have_crit_in_past_8_seconds,972247905,1381557885,export
accuracy_rating_+%_per_25_intelligence,2149204966,4106889136,export
accuracy_rating_+%_per_frenzy_charge,4004193244,3700381193,export
accuracy_rating_+%_when_on_low_life,3758031512,347697569,export
accuracy_rating_+_per_2_dexterity,1347726723,773731062,export
accuracy_rating_+_per_empty_green_socket,3003210454,4280703528,export
accuracy_rating_+_per_frenzy_charge,3670271598,3126680545,export
accuracy_rating_per_level,1565823464,539841130,export
accuracy_rating_while_at_maximum_frenzy_charges,822551745,3213407110,export
action_speed_+%_while_affected_by_haste,2460021492,1960426186,export
action_speed_-%,1631261654,2878959938,export
action_speed_cannot_be_reduced_below_base,605933039,628716294,export
action_speed_cannot_be_reduced_below_base_while_ignited,1470065839,2146687910,export
action_speed_cannot_be_slowed_below_base_if_cast_temporal_chains_in_past_10_seconds,3979588810,3616500790,export
action_speed_is_at_least_90%,2903510050,179010262,export
active_skill_attack_speed_+%_final,2597676154,2418322751,export
add_endurance_charge_on_enemy_critical_strike,4002591119,2609824731,export
add_endurance_charge_on_kill,584978891,2064503808,export
add_frenzy_charge_every_50_rampage_stacks,3490197626,637690626,export
add_frenzy_charge_on_critical_strike,211294352,398702949,export
add_frenzy_charge_on_kill_%_chance,3904607854,1826802197,export
add_frenzy_charge_on_skill_hit_%,3491693553,2323242761,export
add_frenzy_charge_on_skill_hit_%_if_4_redeemer_items,2073027685,1571123250,export
add_frenzy_charge_when_hit_%,104506504,881914531,export
add_power_charge_on_critical_strike_%,1479057381,3814876985,export
add_power_charge_on_hit_while_poisoned_%,2356331001,800598487,export
add_power_charge_on_kill_%_chance,3772241799,2483795307,export
add_power_charge_on_skill_hit_%,1641523098,1453197917,export
add_power_charge_on_skill_hit_%_if_4_crusader_items,1484740007,4060882278,export
added_chaos_damage_%_mana_cost_if_payable,1664868913,820155465,export
additional_all_attributes,1979686922,1379411836,export
additional_attack_block_%_per_endurance_charge,1878642662,3039589351,export
additional_attack_block_%_per_frenzy_charge,3957339439,2148784747,export
additional_attack_block_%_per_power_charge,2927815630,2856326982,export
additional_attack_block_%_per_summoned_skeleton,3814749820,2445675562,export
additional_block_%,1910201303,1702195217,export
additional_block_%_per_endurance_charge,1878642662,3039589351,export+pob
additional_block_%_while_not_cursed,3908397088,3619054484,export
additional_block_%_while_on_consecrated_ground,3925652364,3865999868,export
additional_block_%_while_you_have_at_least_10_crab_charges,3443641800,653107703,export
additional_block_%_while_you_have_at_least_5_crab_charges,1845650884,1354504703,export
additional_block_%_with_5_or_more_nearby_enemies,1916376074,1214532298,export
additional_block_chance_%_when_in_off_hand,4107506662,2040585053,export
additional_block_chance_against_projectiles_%,308802921,3416410609,export
additional_chaos_damage_to_spells_equal_to_%_maximum_life,583742249,3175648755,export
additional_chaos_resistance_against_damage_over_time_%,777594689,2266636761,export
additional_critical_strike_chance_per_power_charge_permyriad,1383489987,1818900806,export
additional_critical_strike_chance_permyriad_per_warcry_exerting_action,1875413700,3528761893,export
additional_critical_strike_chance_permyriad_while_affected_by_cat_aspect,1681491255,3992636701,export
additional_critical_strike_chance_permyriad_while_affected_by_hatred,2514001984,2753985507,export
additional_critical_strike_chance_permyriad_while_at_maximum_power_charges,1518025266,1166971727,export
additional_damage_rolls_while_on_low_life,371926728,204466006,export
additional_dexterity,960144305,3261801346,export
additional_dexterity_and_intelligence,2118566739,2300185227,export
additional_elemental_damage_reduction_as_half_of_chaos_resistance,1556030217,3990082744,export
additional_intelligence,1810204463,328541901,export
additional_max_number_of_dominated_magic_monsters,2296002043,1095160683,export
additional_max_number_of_dominated_rare_monsters,139077410,2337005967,export
additional_maximum_all_elemental_resistances_%,599864586,1978899297,export
additional_maximum_all_elemental_resistances_%_if_6_shaper_items,3690949227,15754647,export
additional_maximum_all_elemental_resistances_%_while_affected_by_purity_of_elements,3921364265,3234824465,export
additional_maximum_all_resistances_%,3172761812,569299859,export
additional_maximum_all_resistances_%_while_poisoned,379841513,1030987123,export
additional_maximum_all_resistances_%_with_no_endurance_charges,4163418749,3635566977,export
additional_off_hand_critical_strike_chance_permyriad,3149252809,1757389331,export
additional_physical_damage_reduction_%_during_flask_effect,4103714747,2693266036,export
additional_physical_damage_reduction_%_during_focus,490426264,3753650187,export
additional_physical_damage_reduction_%_if_not_damaged_by_a_hit_recently,2782269556,3603666270,export
additional_physical_damage_reduction_%_vs_abyssal_monsters,188079957,287491423,export
