# generated by scripts/template-vs-translation.py from ../item-facts/data/mod-templates.csv and poe1/data/stat_translations.json @ e2bd511a
array,template,items,lines,match,n_entries,entry_ids,n_trade_ids,trade_ids,has_trade_ids,equipment_lines,gem_lines,other_lines
explicitMods,# to maximum Life,2775,2791,exact,1,base_maximum_life,5,crafted.stat_3299347043 explicit.stat_3299347043 fractured.stat_3299347043 implicit.stat_3299347043 scourge.stat_3299347043,yes,2791,0,0
explicitMods,Base duration is # seconds,1668,1668,none,0,,0,,,0,1668,0
explicitMods,#% to Cold Resistance,1444,1444,exact,1,base_cold_damage_resistance_%,5,crafted.stat_4220027924 explicit.stat_4220027924 fractured.stat_4220027924 implicit.stat_4220027924 scourge.stat_4220027924,yes,1443,0,1
explicitMods,# to maximum Mana,1428,1430,exact,1,base_maximum_mana,5,crafted.stat_1050105434 explicit.stat_1050105434 fractured.stat_1050105434 implicit.stat_1050105434 scourge.stat_1050105434,yes,1430,0,0
explicitMods,#% to Fire Resistance,1418,1418,exact,1,base_fire_damage_resistance_%,5,crafted.stat_3372524247 explicit.stat_3372524247 fractured.stat_3372524247 implicit.stat_3372524247 scourge.stat_3372524247,yes,1418,0,0
explicitMods,#% to Lightning Resistance,1332,1332,exact,1,base_lightning_damage_resistance_%,5,crafted.stat_1671376347 explicit.stat_1671376347 fractured.stat_1671376347 implicit.stat_1671376347 scourge.stat_1671376347,yes,1331,0,1
explicitMods,# to maximum Energy Shield,1145,1147,exact,2,base_maximum_energy_shield;local_energy_shield,9,crafted.stat_3489782002 crafted.stat_4052037485 explicit.stat_3489782002 explicit.stat_4052037485 fractured.stat_3489782002 fractured.stat_4052037485 implicit.stat_3489782002 implicit.stat_4052037485,yes,1147,0,0
explicitMods,# to Dexterity,1076,1076,exact,1,additional_dexterity,5,crafted.stat_3261801346 explicit.stat_3261801346 fractured.stat_3261801346 implicit.stat_3261801346 scourge.stat_3261801346,yes,1076,0,0
explicitMods,# to Strength,954,954,exact,1,additional_strength,5,crafted.stat_4080418644 explicit.stat_4080418644 fractured.stat_4080418644 implicit.stat_4080418644 scourge.stat_4080418644,yes,954,0,0
explicitMods,# to Intelligence,874,874,exact,1,additional_intelligence,5,crafted.stat_328541901 explicit.stat_328541901 fractured.stat_328541901 implicit.stat_328541901 scourge.stat_328541901,yes,874,0,0
explicitMods,#% more Monster Life,871,871,exact,2,map_monsters_life_+%;map_watchstone_monsters_life_+%_final,4,explicit.stat_2710898947 explicit.stat_95249895 fractured.stat_95249895 implicit.stat_95249895,yes,550,0,321
explicitMods,#% increased Attack Speed,823,823,exact,2,attack_speed_+%;local_attack_speed_+%,10,crafted.stat_210067635 crafted.stat_681332047 enchant.stat_210067635 explicit.stat_210067635 explicit.stat_681332047 fractured.stat_210067635 fractured.stat_681332047 implicit.stat_210067635,yes,817,6,0
explicitMods,# metres to radius,805,805,none,0,,0,,,0,805,0
explicitMods,#% increased Movement Speed,786,786,exact,2,base_movement_velocity_+%;from_armour_movement_speed_+%,7,crafted.stat_2250533757 enchant.stat_2250533757 explicit.stat_2250533757 fractured.stat_2250533757 implicit.stat_2250533757 pseudo.pseudo_increased_movement_speed scourge.stat_2250533757,yes,736,49,1
explicitMods,#% to all Elemental Resistances,749,749,exact,2,base_resist_all_elements_%;local_unique_jewel_nearby_disconnected_passives_can_be_allocated|unique_thread_of_hope_base_resist_all_elements_%,6,crafted.stat_2901986750 explicit.stat_1725885727 explicit.stat_2901986750 fractured.stat_2901986750 implicit.stat_2901986750 scourge.stat_2901986750,yes,749,0,0
