# generated by scripts/trade-stat-map.py from poe1/data/stat_translations.json @ e2bd511a and ../trade-query/data/stats-2026-09-12.json
category,capture_entries,covered,covered_pct,export_only,text_differs,uncovered_by_kind
pseudo,298,30,10.1,0,0,lake:53 pseudo:215
explicit,7896,5902,74.7,0,0,indexable:309 stat:1685
implicit,1834,1348,73.5,0,0,pseudo:16 stat:470
imbued,162,0,0.0,0,0,pseudo:162
fractured,1833,1771,96.6,0,0,stat:62
enchant,2037,1479,72.6,0,0,delirium:21 stat:537
scourge,409,409,100.0,0,0,
crafted,288,286,99.3,0,0,stat:2
mercenary,534,1,0.2,0,0,skill:267 support:266
veiled,20,0,0.0,0,0,mod:20
delve,81,0,0.0,0,0,delve:81
ultimatum,63,0,0.0,0,0,umod:63
sanctum,240,2,0.8,0,0,sanctum:183 stat:55
crucible,2492,0,0.0,0,0,mod:2492
