# generated by scripts/trade-stat-map.py from poe1/data/stat_translations.json @ e2bd511a and ../trade-query/data/stats-2026-09-12.json
trade_id,category,stat_key,trade_text,option,entry,n_entries,repoe_ids,english,hidden,in_capture,capture_text_equal
crafted.stat_1002362373,crafted,stat_1002362373,#% increased Melee Damage,,1259,1,melee_damage_+%,{0}% increased Melee Damage,,yes,yes
crafted.stat_1004011302,crafted,stat_1004011302,#% increased Cooldown Recovery Rate,,5055,1,base_cooldown_speed_+%,{0}% increased Cooldown Recovery Rate,,yes,yes
crafted.stat_1037193709,crafted,stat_1037193709,Adds # to # Cold Damage (Local),,1397,1,local_minimum_added_cold_damage|local_maximum_added_cold_damage,Adds {0} to {1} Cold Damage,,yes,yes
crafted.stat_1050105434,crafted,stat_1050105434,+# to maximum Mana,,1604,1,base_maximum_mana,{0} to maximum Mana,,yes,yes
crafted.stat_1062208444,crafted,stat_1062208444,#% increased Armour (Local),,1566,1,local_physical_damage_reduction_rating_+%,{0}% increased Armour,,yes,yes
crafted.stat_1073942215,crafted,stat_1073942215,#% increased Freeze Duration on Enemies,,1881,1,freeze_duration_+%,{0}% increased Freeze Duration on Enemies,,yes,yes
crafted.stat_1079239905,crafted,stat_1079239905,Socketed Gems are Supported by Level # Lifetap,,337,1,local_display_socketed_gems_supported_by_level_x_lifetap,Socketed Gems are Supported by Level {0} Lifetap,,yes,yes
crafted.stat_1086147743,crafted,stat_1086147743,#% increased Ignite Duration on Enemies,,1882,1,ignite_duration_+%,{0}% increased Ignite Duration on Enemies,,yes,yes
crafted.stat_1101403182,crafted,stat_1101403182,#% reduced Damage taken from Damage Over Time,,2268,1,degen_effect_+%,{0}% increased Damage taken from Damage Over Time,,yes,yes
crafted.stat_1133016593,crafted,stat_1133016593,Adds # to # Fire Damage to Spells,,1430,1,spell_minimum_added_fire_damage|spell_maximum_added_fire_damage,Adds {0} to {1} Fire Damage to Spells,,yes,yes
crafted.stat_114734841,crafted,stat_114734841,Flasks applied to you have #% increased Effect,,2776,1,flask_effect_+%,Flasks applied to you have {0}% increased Effect,,yes,yes
crafted.stat_1149326139,crafted,stat_1149326139,Cannot roll Caster Modifiers,,24,2,item_generation_cannot_roll_caster_affixes,Cannot roll Caster Modifiers,,yes,yes
crafted.stat_1149326139,crafted,stat_1149326139,Cannot roll Caster Modifiers,,7425,2,kinetic_wand_implicit_cannot_roll_caster_modifiers,Cannot roll Caster Modifiers,,yes,yes
crafted.stat_1172810729,crafted,stat_1172810729,#% chance to deal Double Damage,,5734,1,chance_to_deal_double_damage_%,{0}% chance to deal Double Damage,,yes,yes
crafted.stat_1177358866,crafted,stat_1177358866,#% increased Movement Speed if you haven't been Hit Recently,,3255,2,movement_velocity_while_not_hit_+%,{0}% increased Movement Speed if you haven't been Hit Recently,,yes,yes
crafted.stat_1177358866,crafted,stat_1177358866,#% increased Movement Speed if you haven't been Hit Recently,,3275,2,enchantment_boots_movement_speed_+%_when_not_hit_for_4_seconds,{0}% increased Movement Speed if you haven't been Hit Recently,,yes,yes
crafted.stat_1178188780,crafted,stat_1178188780,Channelling Skills Cost +# Mana,,10210,1,base_mana_cost_+_with_channelling_skills,Channelling Skills Cost {0} Mana,,yes,yes
crafted.stat_118398748,crafted,stat_118398748,#% increased Trap Throwing Speed,,1950,1,trap_throwing_speed_+%,{0}% increased Trap Throwing Speed,,yes,yes
crafted.stat_1225383362,crafted,stat_1225383362,+# to maximum number of Skeletons,,2185,2,base_number_of_skeletons_allowed|quality_display_summon_skeleton_is_gem,{0} to maximum number of Skeletons,,yes,yes
crafted.stat_1225383362,crafted,stat_1225383362,+# to maximum number of Skeletons,,9676,2,number_of_skeletons_allowed_per_2_old,{0} to maximum number of Skeletons,,yes,yes
crafted.stat_124859000,crafted,stat_124859000,#% increased Evasion Rating (Local),,1574,1,local_evasion_rating_+%,{0}% increased Evasion Rating,,yes,yes
crafted.stat_1310194496,crafted,stat_1310194496,#% increased Global Physical Damage,,1256,1,physical_damage_+%,{0}% increased Global Physical Damage,,yes,yes
crafted.stat_1314617696,crafted,stat_1314617696,+#% to Physical Damage over Time Multiplier,,1273,1,physical_dot_multiplier_+,{0}% to Physical Damage over Time Multiplier,,yes,yes
crafted.stat_1316278494,crafted,stat_1316278494,#% increased Warcry Speed,,3309,1,warcry_speed_+%,{0}% increased Warcry Speed,,yes,yes
crafted.stat_1334060246,crafted,stat_1334060246,Adds # to # Lightning Damage,,1405,1,global_minimum_added_lightning_damage|global_maximum_added_lightning_damage,Adds {0} to {1} Lightning Damage,,yes,yes
crafted.stat_1335054179,crafted,stat_1335054179,#% chance to Ignite,,2049,1,base_chance_to_ignite_%,{0}% chance to Ignite,,yes,yes
crafted.stat_1349659520,crafted,stat_1349659520,Your Critical Strike Chance is Lucky while Focused,,6621,1,extra_critical_rolls_during_focus,Your Critical Strike Chance is Lucky while Focused,,yes,yes
crafted.stat_1379411836,crafted,stat_1379411836,+# to all Attributes,,1201,1,additional_all_attributes,{0} to all Attributes,,yes,yes
crafted.stat_1412217137,crafted,stat_1412217137,#% increased Flask Mana Recovery rate,,2213,1,flask_mana_recovery_rate_+%,{0}% increased Flask Mana Recovery rate,,yes,yes
crafted.stat_1423639565,crafted,stat_1423639565,Minions have +#% to all Elemental Resistances,,2942,2,minion_elemental_resistance_%,Minions have {0}% to all Elemental Resistances,,yes,yes
crafted.stat_1423639565,crafted,stat_1423639565,Minions have +#% to all Elemental Resistances,,9437,2,minion_elemental_resistance_30%,Minions have +30% to all Elemental Resistances,,yes,yes
crafted.stat_1435748744,crafted,stat_1435748744,Curse Skills have #% increased Skill Effect Duration,,6081,1,curse_skill_effect_duration_+%,Curse Skills have {0}% increased Skill Effect Duration,,yes,yes
crafted.stat_1445684883,crafted,stat_1445684883,Reflects # to # Physical Damage to Attackers on Block,,2612,1,minimum_physical_damage_to_return_on_block|maximum_physical_damage_to_return_on_block,Reflects {0} Physical Damage to Attackers on Block,,yes,yes
crafted.stat_1452809865,crafted,stat_1452809865,#% increased Flask Charges gained,,2206,1,charges_gained_+%,{0}% increased Flask Charges gained,,yes,yes
crafted.stat_1468606528,crafted,stat_1468606528,Trigger Level 10 Summon Spectral Wolf on Kill,,815,1,local_display_trigger_level_18_summon_spectral_wolf_on_kill_10%_chance,Trigger Level 10 Summon Spectral Wolf on Kill,,yes,yes
crafted.stat_1478653032,crafted,stat_1478653032,#% reduced Effect of Chill on you,,1670,1,chill_effectiveness_on_self_+%,{0}% increased Effect of Chill on you,,yes,yes
crafted.stat_1509134228,crafted,stat_1509134228,#% increased Physical Damage,,1257,1,local_physical_damage_+%|local_weapon_no_physical_damage,No Physical Damage,,yes,yes
crafted.stat_1514829491,crafted,stat_1514829491,#% chance to Avoid being Frozen,,1868,1,base_avoid_freeze_%,{0}% chance to Avoid being Frozen,,yes,yes
crafted.stat_1519474779,crafted,stat_1519474779,#% increased Effect of Non-Damaging Ailments on you,,9638,1,non_damaging_ailment_effect_+%_on_self,{0}% increased Effect of Non-Damaging Ailments on you,,yes,yes
crafted.stat_1519615863,crafted,stat_1519615863,#% chance to cause Bleeding on Hit,,2507,3,local_chance_to_bleed_on_hit_25%,25% chance to cause Bleeding on Hit,,yes,yes
crafted.stat_1519615863,crafted,stat_1519615863,#% chance to cause Bleeding on Hit,,2508,3,local_chance_to_bleed_on_hit_50%,50% chance to cause Bleeding on Hit,,yes,yes
crafted.stat_1519615863,crafted,stat_1519615863,#% chance to cause Bleeding on Hit,,2509,3,local_chance_to_bleed_on_hit_%,{0}% chance to cause Bleeding on Hit,,yes,yes
crafted.stat_1533563525,crafted,stat_1533563525,#% of Physical Damage Converted to Fire Damage,,1978,1,base_physical_damage_%_to_convert_to_fire,{0}% of Physical Damage Converted to Fire Damage,,yes,yes
crafted.stat_1535626285,crafted,stat_1535626285,+# to Strength and Intelligence,,474,2,base_strength_and_intelligence,{0} to Strength and Intelligence,,yes,yes
crafted.stat_1535626285,crafted,stat_1535626285,+# to Strength and Intelligence,,1206,2,additional_strength_and_intelligence,{0} to Strength and Intelligence,,yes,yes
crafted.stat_1538773178,crafted,stat_1538773178,#% chance to Shock,,2056,1,base_chance_to_shock_%,{0}% chance to Shock,,yes,yes
crafted.stat_1539825365,crafted,stat_1539825365,+# to Armour during Soul Gain Prevention,,9797,1,physical_damage_reduction_rating_during_soul_gain_prevention,{0} to Armour during Soul Gain Prevention,,yes,yes
crafted.stat_1572897579,crafted,stat_1572897579,You have Onslaught during Soul Gain Prevention,,6876,1,gain_onslaught_during_soul_gain_prevention,You have Onslaught during Soul Gain Prevention,,yes,yes
crafted.stat_1573130764,crafted,stat_1573130764,Adds # to # Fire Damage to Attacks,,1386,1,attack_minimum_added_fire_damage|attack_maximum_added_fire_damage,Adds {0} to {1} Fire Damage to Attacks,,yes,yes
crafted.stat_1583385065,crafted,stat_1583385065,#% increased Damage with Non-Vaal Skills during Soul Gain Prevention,,6167,1,damage_+%_with_non_vaal_skills_during_soul_gain_prevention,{0}% increased Damage with Non-Vaal Skills during Soul Gain Prevention,,yes,yes
crafted.stat_1588539856,crafted,stat_1588539856,#% of Damage is taken from Mana before Life while Focused,,6172,1,damage_removed_from_mana_before_life_%_while_focused,{0}% of Damage is taken from Mana before Life while Focused,,yes,yes
crafted.stat_1589917703,crafted,stat_1589917703,Minions deal #% increased Damage,,1996,2,minion_damage_+%,Minions deal {0}% increased Damage,,yes,yes
crafted.stat_1589917703,crafted,stat_1589917703,Minions deal #% increased Damage,,1998,2,virtual_minion_damage_+%,Minions deal {0}% increased Damage,,yes,yes
crafted.stat_1599775597,crafted,stat_1599775597,Gain #% of Fire Damage as Extra Chaos Damage,,1964,1,fire_damage_%_to_add_as_chaos,Gain {0}% of Fire Damage as Extra Chaos Damage,,yes,yes
crafted.stat_1618589784,crafted,stat_1618589784,#% chance to Avoid Bleeding,,4248,1,base_avoid_bleed_%,{0}% chance to Avoid Bleeding,,yes,yes
crafted.stat_1653010703,crafted,stat_1653010703,+#% to Non-Ailment Chaos Damage over Time Multiplier,,1286,1,chaos_non_ailment_damage_over_time_multiplier_+,{0}% to Non-Ailment Chaos Damage over Time Multiplier,,yes,yes
crafted.stat_1658124062,crafted,stat_1658124062,Attack Projectiles Return to you,,2858,1,attack_projectiles_return,Attack Projectiles Return to you,,yes,yes
crafted.stat_1671376347,crafted,stat_1671376347,+#% to Lightning Resistance,,1661,1,base_lightning_damage_resistance_%,{0}% to Lightning Resistance,,yes,yes
crafted.stat_1702195217,crafted,stat_1702195217,+#% Chance to Block Attack Damage,,2483,1,additional_block_%,{0}% Chance to Block Attack Damage,,yes,yes
crafted.stat_174664100,crafted,stat_174664100,Minions have #% increased Movement Speed,,1794,1,minion_movement_speed_+%,Minions have {0}% increased Movement Speed,,yes,yes
crafted.stat_1754445556,crafted,stat_1754445556,Adds # to # Lightning Damage to Attacks,,1406,1,attack_minimum_added_lightning_damage|attack_maximum_added_lightning_damage,Adds {0} to {1} Lightning Damage to Attacks,,yes,yes
crafted.stat_1766730250,crafted,stat_1766730250,You are Immune to Ailments while Focused,,7343,1,immune_to_status_ailments_while_focused,You are Immune to Ailments while Focused,,yes,yes
crafted.stat_1782086450,crafted,stat_1782086450,#% faster start of Energy Shield Recharge,,1586,2,energy_shield_delay_-%,{0}% faster start of Energy Shield Recharge,,yes,yes
crafted.stat_1782086450,crafted,stat_1782086450,#% faster start of Energy Shield Recharge,,3610,2,virtual_energy_shield_delay_-%,{0}% faster start of Energy Shield Recharge,,yes,yes
crafted.stat_1783006896,crafted,stat_1783006896,#% chance to Avoid being Ignited,,1869,1,base_avoid_ignite_%,{0}% chance to Avoid being Ignited,,yes,yes
crafted.stat_1785942004,crafted,stat_1785942004,#% Chance to Trigger Level 18 Summon Spectral Wolf on Kill,,809,1,local_display_summon_wolf_on_kill_%,{0}% Chance to Trigger Level 18 Summon Spectral Wolf on Kill,,yes,yes
crafted.stat_1839076647,crafted,stat_1839076647,#% increased Projectile Damage,,2019,1,projectile_damage_+%,{0}% increased Projectile Damage,,yes,yes
crafted.stat_1840751341,crafted,stat_1840751341,#% increased Duration of Ailments you inflict while Focused,,10374,1,status_ailments_you_inflict_duration_+%_while_focused,{0}% increased Duration of Ailments you inflict while Focused,,yes,yes
crafted.stat_1859333175,crafted,stat_1859333175,Can have up to 3 Crafted Modifiers,,26,1,item_generation_can_have_multiple_crafted_mods,Can have up to 3 Crafted Modifiers,,yes,yes
crafted.stat_1871765599,crafted,stat_1871765599,#% chance to Avoid being Shocked,,1871,1,base_avoid_shock_%,{0}% chance to Avoid being Shocked,,yes,yes
crafted.stat_1896971621,crafted,stat_1896971621,#% increased Mine Throwing Speed,,1951,1,mine_laying_speed_+%,{0}% increased Mine Throwing Speed,,yes,yes
crafted.stat_1905034712,crafted,stat_1905034712,Adds # to # Fire Damage to Hits against you,,1384,1,from_self_minimum_added_fire_damage_taken|from_self_maximum_added_fire_damage_taken,Adds {0} to {1} Fire Damage to Hits against you,,yes,yes
crafted.stat_1940865751,crafted,stat_1940865751,Adds # to # Physical Damage (Local),,1302,1,local_minimum_added_physical_damage|local_maximum_added_physical_damage,Adds {0} to {1} Physical Damage,,yes,yes
crafted.stat_1950806024,crafted,stat_1950806024,+#% to Cold Damage over Time Multiplier,,1282,1,cold_dot_multiplier_+,{0}% to Cold Damage over Time Multiplier,,yes,yes
crafted.stat_19803471,crafted,stat_19803471,+#% Chance to Block Spell Damage,,2484,1,additional_spell_block_%,{0}% Chance to Block Spell Damage,,yes,yes
crafted.stat_1984113628,crafted,stat_1984113628,#% increased Effect of Chill and Shock on you,,10166,1,shocked_chilled_effect_on_self_+%,{0}% increased Effect of Chill and Shock on you,,yes,yes
crafted.stat_1999113824,crafted,stat_1999113824,#% increased Evasion and Energy Shield (Local),,1578,1,local_evasion_and_energy_shield_+%,{0}% increased Evasion and Energy Shield,,yes,yes
crafted.stat_1999711879,crafted,stat_1999711879,+# to Minimum Power Charges,,1838,1,base_minimum_power_charges,{0} to Minimum Power Charges,,yes,yes
crafted.stat_2008255263,crafted,stat_2008255263,#% increased Critical Strike Chance during Effect,,1003,1,local_flask_critical_strike_chance_+%_during_flask_effect,{0}% increased Critical Strike Chance during Effect,,yes,yes
crafted.stat_2016708976,crafted,stat_2016708976,+#% to Quality,,8065,1,local_item_quality_+,{0}% to Quality,,yes,yes
crafted.stat_2022851697,crafted,stat_2022851697,You have Vaal Pact while Focused,,6925,1,gain_vaal_pact_while_focused,You have Vaal Pact while Focused,,yes,yes
crafted.stat_2034658008,crafted,stat_2034658008,#% increased Damage per Power Charge,,6149,1,damage_+%_per_power_charge,{0}% increased Damage per Power Charge,,yes,yes
crafted.stat_205619502,crafted,stat_205619502,#% chance to Trigger Level 1 Blood Rage when you Kill an Enemy,,816,1,local_display_trigger_level_1_blood_rage_on_kill_chance_%,{0}% chance to Trigger Level 1 Blood Rage when you Kill an Enemy,,yes,yes
crafted.stat_2062792091,crafted,stat_2062792091,"#% chance to Trigger Socketed Spells when you Focus, with a 0.25 second Cooldown",,858,1,trigger_socketed_spells_when_you_focus_%,"{0}% chance to Trigger Socketed Spells when you Focus, with a 0.25 second Cooldown",,yes,yes
crafted.stat_2063695047,crafted,stat_2063695047,Gain #% of Non-Chaos Damage as extra Chaos Damage,,9626,1,non_chaos_damage_to_add_as_chaos_damage_%,Gain {0}% of Non-Chaos Damage as extra Chaos Damage,,yes,yes
crafted.stat_2067062068,crafted,stat_2067062068,Projectiles Pierce # additional Targets,,1815,5,projectile_base_number_of_targets_to_pierce,Projectiles Pierce an additional Target,,yes,yes
crafted.stat_2067062068,crafted,stat_2067062068,Projectiles Pierce # additional Targets,,9897,5,projectiles_pierce_1_additional_target_per_10_stat_value,Projectiles Pierce an additional Target,,yes,yes
crafted.stat_2067062068,crafted,stat_2067062068,Projectiles Pierce # additional Targets,,9898,5,projectiles_pierce_1_additional_target_per_15_stat_value,Projectiles Pierce an additional Target,,yes,yes
crafted.stat_2067062068,crafted,stat_2067062068,Projectiles Pierce # additional Targets,,9930,5,quiver_projectiles_pierce_3_additional_targets,Projectiles Pierce 3 additional Targets,,yes,yes
crafted.stat_2067062068,crafted,stat_2067062068,Projectiles Pierce # additional Targets,,10507,5,talisman_implicit_projectiles_pierce_1_additional_target_per_10,Projectiles Pierce {0} additional Targets,,yes,yes
crafted.stat_2069161757,crafted,stat_2069161757,#% increased Effect of Freeze on you,,5071,1,base_frozen_effect_on_self_+%,{0}% increased Effect of Freeze on you,,yes,yes
crafted.stat_2093523445,crafted,stat_2093523445,Adds # to # Physical Damage to Attacks against you,,1293,1,from_self_minimum_added_attack_physical_damage_taken|from_self_maximum_added_attack_physical_damage_taken,Adds {0} to {1} Physical Damage to Attacks against you,,yes,yes
crafted.stat_210067635,crafted,stat_210067635,#% increased Attack Speed (Local),,1439,1,local_attack_speed_+%,{0}% increased Attack Speed,,yes,yes
crafted.stat_2106365538,crafted,stat_2106365538,#% increased Evasion Rating,,1573,1,evasion_rating_+%,{0}% increased Evasion Rating,,yes,yes
crafted.stat_2127433866,crafted,stat_2127433866,Adds # to # Fire Damage to Attacks against you,,1387,1,from_self_minimum_added_attack_fire_damage_taken|from_self_maximum_added_attack_fire_damage_taken,Adds {0} to {1} Fire Damage to Attacks against you,,yes,yes
crafted.stat_2133341901,crafted,stat_2133341901,#% of Physical Damage Converted to Cold Damage,,1980,1,base_physical_damage_%_to_convert_to_cold,{0}% of Physical Damage Converted to Cold Damage,,yes,yes
crafted.stat_2137912951,crafted,stat_2137912951,#% increased Mine Damage,,1221,1,mine_damage_+%,{0}% increased Mine Damage,,yes,yes
crafted.stat_2144192055,crafted,stat_2144192055,+# to Evasion Rating,,1568,1,base_evasion_rating,{0} to Evasion Rating,,yes,yes
crafted.stat_2154246560,crafted,stat_2154246560,#% increased Damage,,1216,1,damage_+%,{0}% increased Damage,,yes,yes
crafted.stat_2161689853,crafted,stat_2161689853,#% increased Rarity of Items Dropped by Slain Rare or Unique Enemies,,9977,1,rare_or_unique_monster_dropped_item_rarity_+%,{0}% increased Rarity of Items Dropped by Slain Rare or Unique Enemies,,yes,yes
