# owner-captured, not generated: the owner's manual check of every `open` row of twice-numbered.csv on the trade site, 2026-09-13, Standard league, pc, status any, one search per row — `found` is whether the search returned any listing; kept by hand, read back by scripts/hash-check.py
stat_id,trade_number,category,found,checked
avoid_knockback_%,2362265695,explicit,yes,2026-09-13
avoid_knockback_%,4212255859,explicit,yes,2026-09-13
clarity_mana_reservation_efficiency_-2%_per_1,453778214,enchant,yes,2026-09-13
clarity_mana_reservation_efficiency_-2%_per_1,2668611054,enchant,no,2026-09-13
display_altleague_event,222333372,explicit,yes,2026-09-13
display_altleague_event,1582162479,explicit,yes,2026-09-13
display_altleague_event,3249943883,explicit,yes,2026-09-13
display_map_has_oxygen,660313500,explicit,yes,2026-09-13
display_map_has_oxygen,2378288719,explicit,yes,2026-09-13
display_map_inhabited_by_lunaris_fanatics,3134632618,explicit,yes,2026-09-13
display_map_inhabited_by_lunaris_fanatics,3408601861,explicit,yes,2026-09-13
display_map_inhabited_by_solaris_fanatics,1934713036,explicit,yes,2026-09-13
display_map_inhabited_by_solaris_fanatics,2457517302,explicit,yes,2026-09-13
flesh_stone_mana_reservation_efficiency_-2%_per_1,1740848995,enchant,yes,2026-09-13
flesh_stone_mana_reservation_efficiency_-2%_per_1,3563089138,enchant,no,2026-09-13
haste_mana_reservation_efficiency_-2%_per_1,804667127,enchant,no,2026-09-13
haste_mana_reservation_efficiency_-2%_per_1,939320550,enchant,yes,2026-09-13
heist_contract_guarding_monsters_take_damage_+%,408585189,sanctum,yes,2026-09-13
heist_contract_guarding_monsters_take_damage_+%,873692616,explicit,yes,2026-09-13
item_generation_cannot_roll_caster_affixes,1149326139,explicit,yes,2026-09-13
item_generation_cannot_roll_caster_affixes,4082780964,implicit,yes,2026-09-13
map_area_contains_x_additional_clusters_of_beacon_barrels,1080470148,enchant,no,2026-09-13
map_area_contains_x_additional_clusters_of_beacon_barrels,1207515735,enchant,no,2026-09-13
map_area_contains_x_additional_clusters_of_beacon_barrels,1669553893,enchant,no,2026-09-13
map_area_contains_x_additional_clusters_of_beacon_barrels,2343561786,explicit,yes,2026-09-13
map_area_contains_x_additional_clusters_of_beacon_barrels,4019701925,enchant,no,2026-09-13
map_base_ground_fire_damage_to_deal_per_minute,133340941,explicit,yes,2026-09-13
map_base_ground_fire_damage_to_deal_per_minute,3665534869,explicit,yes,2026-09-13
map_ground_ice,349586058,explicit,yes,2026-09-13
map_ground_ice,389725673,explicit,yes,2026-09-13
map_monsters_damage_taken_+%,2549512259,sanctum,yes,2026-09-13
map_monsters_damage_taken_+%,3007862517,explicit,yes,2026-09-13
map_monsters_life_+%,95249895,explicit,yes,2026-09-13
map_monsters_life_+%,2710898947,explicit,no,2026-09-13
map_monsters_poison_on_hit,394639761,explicit,no,2026-09-13
