# generated by scripts/hash-check.py from PathOfBuilding/src/Data/Mod*.lua @ 16de4b82, poe1/data/mods.json and stat_translations.json @ e2bd511a, ../trade-query/data/stats-2026-09-12.json
stat_id,trade_number,verdict,capture_categories,capture_texts,export_string,search_url,found,checked
%_of_your_damage_cannot_be_reflected,1571797746,picked,implicit,Prevent +#% of Reflected Damage,Prevent {0}% of Reflected Damage,https://www.pathofexile.com/trade/search/Standard/H4sIAAAAAAAAA6tWKi5JLCktVrKqVsovKMnMz1OyUkrMq1Sq1QHLACWiq5VKKgtSweIpSjpKaZk5JalFEInMFKBwZm5BTmZyZokeSEO8oam5obmlubmJmVJtLBACAKarur9iAAAA,,
%_of_your_damage_cannot_be_reflected,2510655429,rejected,implicit,Prevent +#% of Reflected Damage,Prevent {0}% of Reflected Damage,https://www.pathofexile.com/trade/search/Standard/H4sIAAAAAAAAA6tWKi5JLCktVrKqVsovKMnMz1OyUkrMq1Sq1QHLACWiq5VKKgtSweIpSjpKaZk5JalFEInMFKBwZm5BTmZyZokeSEO8kamhgZmpqYmRpVJtLBACAFnGxi9iAAAA,,
additional_attack_block_%_per_endurance_charge,2355741828,picked,explicit,+#% Chance to Block Attack Damage per Endurance Charge,{0}% Chance to Block Attack Damage per Endurance Charge,https://www.pathofexile.com/trade/search/Standard/H4sIAAAAAAAAA6tWKi5JLCktVrKqVsovKMnMz1OyUkrMq1Sq1QHLACWiq5VKKgtSweIpSjpKaZk5JalFEInMFKBwakVBTmZyZokeSEO8kbGpqbmJoYWRhVJtLBACAAdBaGFiAAAA,,
additional_attack_block_%_per_endurance_charge,3039589351,rejected,explicit fractured,+#% Chance to Block Attack Damage per Endurance Charge,{0}% Chance to Block Attack Damage per Endurance Charge,https://www.pathofexile.com/trade/search/Standard/H4sIAAAAAAAAA6tWKi5JLCktVrKqVsovKMnMz1OyUkrMq1Sq1QHLACWiq5VKKgtSweIpSjpKaZk5JalFEInMFKBwakVBTmZyZokeSEO8sYGxpamFpbGpoVJtLBACABnW-1RiAAAA,,
amulet_freeze_proliferation_radius,1623640288,rejected,implicit,Freezes you inflict spread to other Enemies within # metre,Freezes you inflict spread to other Enemies within {0} metre,https://www.pathofexile.com/trade/search/Standard/H4sIAAAAAAAAA6tWKi5JLCktVrKqVsovKMnMz1OyUkrMq1Sq1QHLACWiq5VKKgtSweIpSjpKaZk5JalFEInMFKBwZm5BTmZyZokeSEO8oZmRsZmJgZGFhVJtLBACALUr0rViAAAA,,
amulet_freeze_proliferation_radius,3865389316,picked,explicit,Freezes you inflict spread to other Enemies within # metre,Freezes you inflict spread to other Enemies within {0} metre,https://www.pathofexile.com/trade/search/Standard/H4sIAAAAAAAAA6tWKi5JLCktVrKqVsovKMnMz1OyUkrMq1Sq1QHLACWiq5VKKgtSweIpSjpKaZk5JalFEInMFKBwakVBTmZyZokeSEO8sYWZqbGFpbGhmVJtLBACAJxYuytiAAAA,,
anger_mana_reservation_efficiency_-2%_per_1,2549369799,rejected,enchant explicit fractured implicit,Anger has #% increased Mana Reservation Efficiency,Anger has {0}% reduced Mana Reservation Efficiency,https://www.pathofexile.com/trade/search/Standard/H4sIAAAAAAAAA6tWKi5JLCktVrKqVsovKMnMz1OyUkrMq1Sq1QHLACWiq5VKKgtSweIpSjpKaZk5JalFEInMFKBwakVBTmZyZokeSEO8kamJpbGZpbmlpVJtLBACAAHXPihiAAAA,,
anger_mana_reservation_efficiency_-2%_per_1,2963485753,picked,enchant explicit,Anger has #% increased Mana Reservation Efficiency,Anger has {0}% reduced Mana Reservation Efficiency,https://www.pathofexile.com/trade/search/Standard/H4sIAAAAAAAAA6tWKi5JLCktVrKqVsovKMnMz1OyUkrMq1Sq1QHLACWiq5VKKgtSweIpSjpKaZk5JalFEInMFKBwakVBTmZyZokeSEO8kaWZsYmFqbmpsVJtLBACAGi093liAAAA,,
arctic_armour_mana_reservation_efficiency_-2%_per_1,2351239732,rejected,enchant explicit fractured implicit,Arctic Armour has #% increased Mana Reservation Efficiency,Arctic Armour has {0}% reduced Mana Reservation Efficiency,https://www.pathofexile.com/trade/search/Standard/H4sIAAAAAAAAA6tWKi5JLCktVrKqVsovKMnMz1OyUkrMq1Sq1QHLACWiq5VKKgtSweIpSjpKaZk5JalFEInMFKBwakVBTmZyZokeSEO8kbGpoZGxpbmxkVJtLBACAPeZ_bRiAAAA,,
arctic_armour_mana_reservation_efficiency_-2%_per_1,2605040931,picked,enchant explicit fractured,Arctic Armour has #% increased Mana Reservation Efficiency,Arctic Armour has {0}% reduced Mana Reservation Efficiency,https://www.pathofexile.com/trade/search/Standard/H4sIAAAAAAAAA6tWKi5JLCktVrKqVsovKMnMz1OyUkrMq1Sq1QHLACWiq5VKKgtSweIpSjpKaZk5JalFEInMFKBwakVBTmZyZokeSEO8kZmBqYGJgaWxoVJtLBACAF5CXwNiAAAA,,
attacks_impale_on_hit_%_chance,725880290,rejected,crafted explicit fractured,#% chance to Impale Enemies on Hit with Attacks,{0}% chance to Impale Enemies on Hit with Attacks,https://www.pathofexile.com/trade/search/Standard/H4sIAAAAAAAAA6tWKi5JLCktVrKqVsovKMnMz1OyUkrMq1Sq1QHLACWiq5VKKgtSweIpSjpKaZk5JalFEInMFKBwakVBTmZyZokeSEO8uZGphYWBkaWBUm0sEAIACxfD6mEAAAA,,
attacks_impale_on_hit_%_chance,3739863694,picked,explicit fractured implicit scourge,#% chance to Impale Enemies on Hit with Attacks,{0}% chance to Impale Enemies on Hit with Attacks,https://www.pathofexile.com/trade/search/Standard/H4sIAAAAAAAAA6tWKi5JLCktVrKqVsovKMnMz1OyUkrMq1Sq1QHLACWiq5VKKgtSweIpSjpKaZk5JalFEInMFKBwakVBTmZyZokeSEO8sbmxpYWZsZmliVJtLBACAIUcAVtiAAAA,,
avoid_knockback_%,2362265695,open,crafted explicit,#% chance to Avoid being Knocked Back,{0}% chance to Avoid being Knocked Back,https://www.pathofexile.com/trade/search/Standard/H4sIAAAAAAAAA6tWKi5JLCktVrKqVsovKMnMz1OyUkrMq1Sq1QHLACWiq5VKKgtSweIpSjpKaZk5JalFEInMFKBwakVBTmZyZokeSEO8kbGZkZGZqZmlqVJtLBACACuqIV1iAAAA,yes,2026-09-13
avoid_knockback_%,4212255859,open,explicit fractured implicit,Cannot be Knocked Back,{0}% chance to Avoid being Knocked Back,https://www.pathofexile.com/trade/search/Standard/H4sIAAAAAAAAA6tWKi5JLCktVrKqVsovKMnMz1OyUkrMq1Sq1QHLACWiq5VKKgtSweIpSjpKaZk5JalFEInMFKBwakVBTmZyZokeSEO8iZGhkZGpqYWppVJtLBACAE9wqRNiAAAA,yes,2026-09-13
base_cooldown_speed_+%,239144,rejected,explicit,#% increased Cooldown Recovery Rate,{0}% increased Cooldown Recovery Rate,https://www.pathofexile.com/trade/search/Standard/H4sIAAAAAAAAA6tWKi5JLCktVrKqVsovKMnMz1OyUkrMq1Sq1QHLACWiq5VKKgtSweIpSjpKaZk5JalFEInMFKBwakVBTmZyZokeSEO8kbGloYmJUm0sEAIAVfs4QF4AAAA,,
base_cooldown_speed_+%,1004011302,picked,crafted enchant explicit fractured implicit scourge,#% increased Cooldown Recovery Rate,{0}% increased Cooldown Recovery Rate,https://www.pathofexile.com/trade/search/Standard/H4sIAAAAAAAAAyXLQQqAIBSE4bvMWkKrlVeJCCmDB6KSL0jEu2fG7P6PKUhs-E7QBSEyBQ8N4zOq6NJgKeAcbe8HBE5ybK8f6GjZPtHRTjx8h01JOUulJjmirm0vR6snYWIAAAA,,
base_enemy_critical_strike_chance_+%_against_self,165218607,rejected,explicit implicit,Hits have #% increased Critical Strike Chance against you,Hits have {0}% increased Critical Strike Chance against you,https://www.pathofexile.com/trade/search/Standard/H4sIAAAAAAAAA6tWKi5JLCktVrKqVsovKMnMz1OyUkrMq1Sq1QHLACWiq5VKKgtSweIpSjpKaZk5JalFEInMFKBwakVBTmZyZokeSEO8oZmpkaGFmYG5Um0sEAIAW6481GEAAAA,,
base_enemy_critical_strike_chance_+%_against_self,4270096386,picked,explicit,Hits have #% increased Critical Strike Chance against you,Hits have {0}% increased Critical Strike Chance against you,https://www.pathofexile.com/trade/search/Standard/H4sIAAAAAAAAA6tWKi5JLCktVrKqVsovKMnMz1OyUkrMq1Sq1QHLACWiq5VKKgtSweIpSjpKaZk5JalFEInMFKBwakVBTmZyZokeSEO8iZG5gYGlmbGFmVJtLBACAAzCOWliAAAA,,
base_energy_shield_regeneration_rate_per_minute,1330109706,picked,explicit,Regenerate # Energy Shield per second,Regenerate {0} Energy Shield per second,https://www.pathofexile.com/trade/search/Standard/H4sIAAAAAAAAA6tWKi5JLCktVrKqVsovKMnMz1OyUkrMq1Sq1QHLACWiq5VKKgtSweIpSjpKaZk5JalFEInMFKBwakVBTmZyZokeSEO8obGxgaGBpbmBmVJtLBACADco3SxiAAAA,,
