group,filter,text,shape,gap,via
status_filters,status,,option,none,"market state (listing, seller, price, indexing)"
type_filters,category,Item Category,option,open,83 option ids; the private-API item carries no class field — taxonomy source unknown
type_filters,rarity,Item Rarity,option,local:field,frameType
weapon_filters,damage,Damage,minMax,local:derived,computation not in the capture
weapon_filters,aps,Attacks per Second,minMax,local:property 13,the site renders this property type under this field
weapon_filters,crit,Critical Chance,minMax,local:property 12,the site renders this property type under this field
weapon_filters,dps,Damage per Second,minMax,local:derived,computation not in the capture
weapon_filters,pdps,Physical DPS,minMax,local:derived,computation not in the capture
weapon_filters,edps,Elemental DPS,minMax,local:derived,computation not in the capture
armour_filters,ar,Armour,minMax,local:property 16,the site renders this property type under this field
armour_filters,ev,Evasion,minMax,local:property 17,the site renders this property type under this field
armour_filters,es,Energy Shield,minMax,local:property 18,the site renders this property type under this field
armour_filters,ward,Ward,minMax,local:property 54,the site renders this property type under this field
armour_filters,block,Block,minMax,local:property 15,the site renders this property type under this field
armour_filters,base_defence_percentile,Base Percentile,minMax,open,no property or field mapping in the capture
socket_filters,sockets,Sockets,minMax+sockets,local:derived,computation not in the capture
socket_filters,links,Link Groups,minMax+sockets,local:derived,computation not in the capture
req_filters,lvl,Level,minMax,local:property 62,the site renders this property type under this field
req_filters,str,Strength,minMax,local:property 63,the site renders this property type under this field
req_filters,dex,Dexterity,minMax,local:property 64,the site renders this property type under this field
req_filters,int,Intelligence,minMax,local:property 65,the site renders this property type under this field
req_filters,class,Character Class,option,open,no property or field mapping in the capture
map_filters,map_tier,Map Tier,minMax,local:property 1,the site renders this property type under this field
map_filters,map_packsize,Increased Packsize,minMax,local:property 4,the site renders this property type under this field
map_filters,map_iiq,Increased Item Quantity,minMax,local:property 2,the site renders this property type under this field
map_filters,map_iir,Increased Item Rarity,minMax,local:property 3,the site renders this property type under this field
map_filters,map_gold,Chart Gold,minMax,local:property 100,the site renders this property type under this field
map_filters,chart_sulphur,Chart Sulphur,minMax,open,no property or field mapping in the capture
map_filters,chart_shape,Chart Shape,option,open,no property or field mapping in the capture
map_filters,area_level,Area Level,minMax,local:property 34,the site renders this property type under this field
map_filters,map_series,Map Series,option,open,no property or field mapping in the capture
map_filters,map_blighted,Blighted Map,option,open,no property or field mapping in the capture
map_filters,map_uberblighted,Blight-ravaged Map,option,open,no property or field mapping in the capture
map_filters,map_completion_reward,Map Completion Reward,option,open,no property or field mapping in the capture
heist_filters,heist_wings,Wings Revealed,minMax,local:property 35,the site renders this property type under this field
heist_filters,heist_max_wings,Total Wings,minMax,open,no property or field mapping in the capture
heist_filters,heist_escape_routes,Escape Routes Revealed,minMax,local:property 36,the site renders this property type under this field
heist_filters,heist_max_escape_routes,Total Escape Routes,minMax,open,no property or field mapping in the capture
