category,text,ids,id_kinds
explicit,#% chance to Avoid being Chilled during Effect,stat_1619168299 stat_1053326368,stat
explicit,#% chance to Avoid being Frozen during Effect,stat_2872815301 stat_475518267,stat
explicit,#% chance to Impale Enemies on Hit with Attacks,stat_3739863694 stat_725880290,stat
explicit,#% chance to Intimidate Enemies for 4 seconds on Hit,stat_2089652545 stat_78985352,stat
explicit,#% chance to gain Onslaught for 4 seconds on Kill,stat_3023957681 stat_665823128,stat
explicit,#% chance to gain a Flask Charge when you deal a Critical Strike,stat_3738001379 stat_2858921304,stat
explicit,#% increased Cooldown Recovery Rate,stat_1004011302 stat_239144,stat
explicit,#% increased Damage with Hits and Ailments against Blinded Enemies,stat_3503466234 stat_3565956680,stat
explicit,#% increased Mana Reservation Efficiency of Curse Aura Skills,stat_443165947 stat_714566414,stat
explicit,#% increased Mana Reservation Efficiency of Skills,stat_4237190083 stat_1269219558,stat
explicit,#% increased Mana Reservation Efficiency of Skills per 250 total Attributes,stat_1212083058 stat_2676451350,stat
explicit,#% increased Maximum total Energy Shield Recovery per second from Leech while affected by Zealotry,stat_2731416566 stat_3848992177,stat
explicit,#% increased Maximum total Life Recovery per second from Leech,stat_4118987751 stat_2916634441,stat
explicit,#% increased Movement Speed if you haven't been Hit Recently,stat_1177358866 stat_308396001,stat
explicit,#% increased Quantity of Gold Dropped by Slain Enemies,stat_253956903 stat_3664950032,stat
explicit,#% increased Rarity of Items found during Effect,stat_1740200922 stat_3251705960,stat
explicit,#% increased Reservation Efficiency of Skills,stat_2587176568 stat_4202507508,stat
explicit,#% increased effect,stat_2448920197 stat_3529940209,stat
explicit,#% increased time before Lockdown,stat_2435922859 stat_4004160031,stat
explicit,#% more Flask Charges gained from Kills,stat_3790386828 stat_624257168,stat
explicit,#% more Monster Life,stat_95249895 stat_2710898947,stat
explicit,#% of Fire Damage from Hits taken as Physical Damage,stat_3205239847 stat_1029319062,stat
explicit,+# to Level of all Kinetic Fusillade Gems,indexable_skill_277 indexable_skill_282,indexable
explicit,+# to Level of all Raise Spectre Gems,stat_3235814433 indexable_skill_29,indexable stat
explicit,+# to Level of all Raise Zombie Gems,stat_2739830820 indexable_skill_16,indexable stat
explicit,+# to Strength and Intelligence,stat_1535626285 stat_2543977012,stat
explicit,+# to maximum Fortification,stat_2094299742 stat_335507772,stat
explicit,+#% Chance to Block Attack Damage per Endurance Charge,stat_3039589351 stat_2355741828,stat
explicit,+#% chance to Suppress Spell Damage,stat_3680664274 stat_492027537,stat
explicit,1 Added Passive Skill is Evil Eye,stat_4291066912 stat_156080652,stat
explicit,Anger has #% increased Mana Reservation Efficiency,stat_2549369799 stat_2963485753,stat
explicit,Arctic Armour has #% increased Mana Reservation Efficiency,stat_2351239732 stat_2605040931,stat
explicit,Area becomes fatal after some time,stat_2378288719 stat_660313500,stat
explicit,Area contains an additional Shrine,stat_1468737867 stat_28550326,stat
explicit,Area has patches of Burning Ground,stat_133340941 stat_3665534869,stat
explicit,Area has patches of Chilled Ground,stat_349586058 stat_389725673,stat
explicit,Area is inhabited by Lunaris fanatics,stat_3134632618 stat_3408601861,stat
explicit,Area is inhabited by Solaris fanatics,stat_2457517302 stat_1934713036,stat
explicit,Chaos Damage taken does not bypass Energy Shield,stat_1119465199 stat_1865744989,stat
explicit,Curse Enemies with Flammability on Hit,stat_338121249 stat_654274615,stat
explicit,Curse Enemies with Temporal Chains on Hit,stat_3433724931 stat_4139135963,stat
explicit,Determination has #% increased Mana Reservation Efficiency,stat_325889252 stat_2721871046,stat
explicit,Discipline has #% increased Mana Reservation Efficiency,stat_2081344089 stat_1692887998,stat
explicit,Grace has #% increased Mana Reservation Efficiency,stat_900639351 stat_1803598623,stat
explicit,Grants Level # Anger Skill,stat_484879947 stat_449494711,stat
explicit,Grants Level # Determination Skill,stat_4265392510 stat_3231614028,stat
explicit,Grants Level # Discipline Skill,stat_2341269061 stat_2578176147,stat
explicit,Grants Level # Grace Skill,stat_2867050084 stat_3914774028,stat
explicit,Grants Level # Haste Skill,stat_1188846263 stat_2923442950,stat
explicit,Grants Level # Hatred Skill,stat_2429546158 stat_178394804,stat
explicit,Grants Level # Purity of Fire Skill,stat_3970432307 stat_3716281760,stat
explicit,Grants Level # Purity of Ice Skill,stat_4193390599 stat_151975117,stat
explicit,Grants Level # Purity of Lightning Skill,stat_3822878124 stat_1141249906,stat
explicit,Grants Level # Wrath Skill,stat_2265307453 stat_1568319697,stat
explicit,Hatred has #% increased Mana Reservation Efficiency,stat_2156140483 stat_1920370417,stat
explicit,Herald of Agony has #% increased Mana Reservation Efficiency,stat_1133703802 stat_1284151528,stat
explicit,Herald of Ash has #% increased Mana Reservation Efficiency,stat_2500442851 stat_3819451758,stat
explicit,Herald of Ice has #% increased Mana Reservation Efficiency,stat_3395872960 stat_3059700363,stat
explicit,Herald of Purity has #% increased Mana Reservation Efficiency,stat_2189040439 stat_1542765265,stat
explicit,Herald of Thunder has #% increased Mana Reservation Efficiency,stat_3817220109 stat_3959101898,stat
explicit,Hits have #% increased Critical Strike Chance against you,stat_4270096386 stat_165218607,stat
explicit,Lose # Life per second,stat_771127912 stat_1559341337,stat
explicit,Malevolence has #% increased Mana Reservation Efficiency,stat_3383226338 stat_3266567165,stat
explicit,Monsters Poison on Hit,stat_3350803563 stat_394639761,stat
explicit,Monsters in your Maps deal #% more Damage,stat_3516276449 stat_2937898686,stat
explicit,Monsters in your Maps have #% more Life,stat_4190580879 stat_2804300445,stat
explicit,Nearby Enemies are Chilled,stat_2159555743 stat_2480873346,stat
explicit,Players have #% increased Movement Speed,stat_3463633447 stat_1416455556,stat
explicit,Pride has #% increased Mana Reservation Efficiency,stat_3993865658 stat_3484910620,stat
explicit,Purity of Fire has #% increased Mana Reservation Efficiency,stat_3003688066 stat_1135152940,stat
explicit,Purity of Ice has #% increased Mana Reservation Efficiency,stat_139925400 stat_2665518524,stat
explicit,Purity of Lightning has #% increased Mana Reservation Efficiency,stat_3411256933 stat_1450978702,stat
explicit,Recover #% of Mana on Kill,stat_1030153674 stat_1604736568,stat
explicit,Regenerate # Energy Shield per second,stat_2561836520 stat_1330109706,stat
explicit,Shock Enemies as though dealing #% more Damage,stat_2206792089 stat_451866048,stat
explicit,Skills Socketed in your Boots are Supported by level # Fresh Meat,stat_4089743927|3|150 stat_4089743927|3|149,stat
explicit,Skills Socketed in your Gloves are Supported by level # Fresh Meat,stat_4089743927|2|149 stat_4089743927|2|150,stat
explicit,Skills Socketed in your Helmet are Supported by level # Fresh Meat,stat_4089743927|1|149 stat_4089743927|1|150,stat
explicit,Skills granted by your Passive Tree are Supported by level # Fresh Meat,stat_4089743927|4|150 stat_4089743927|4|149,stat
explicit,Skills used by this Graft deal #% more Damage,stat_1662209485 stat_4064732043,stat
explicit,Socketed Gems are Supported by Level # Added Chaos Damage,stat_411460446 indexable_support_128,indexable stat
explicit,Socketed Gems are Supported by Level # Added Cold Damage,stat_4020144606 indexable_support_127,indexable stat
explicit,Socketed Gems are Supported by Level # Added Fire Damage,stat_2572192375 indexable_support_126,indexable stat
explicit,Socketed Gems are Supported by Level # Added Lightning Damage,stat_1647529598 indexable_support_125,indexable stat
explicit,Socketed Gems are Supported by Level # Advanced Traps,stat_3839163699 indexable_support_6,indexable stat
explicit,Socketed Gems are Supported by Level # Ancestral Call,stat_696805682 indexable_support_14,indexable stat
explicit,Socketed Gems are Supported by Level # Arcane Surge,stat_2287264161 indexable_support_123,indexable stat
explicit,Socketed Gems are Supported by Level # Archmage,indexable_support_122 stat_3652278215,indexable stat
explicit,Socketed Gems are Supported by Level # Arrogance,indexable_support_116 stat_3922006600,indexable stat
explicit,Socketed Gems are Supported by Level # Arrow Nova,stat_1331336999 indexable_support_121,indexable stat
explicit,Socketed Gems are Supported by Level # Ballista Totem,stat_3030692053 indexable_support_27,indexable stat
explicit,Socketed Gems are Supported by Level # Barrage,indexable_support_120 stat_3827538724,indexable stat
explicit,Socketed Gems are Supported by Level # Behead,indexable_support_140 stat_1019145105,indexable stat
explicit,Socketed Gems are Supported by Level # Blasphemy,stat_539747809 indexable_support_119,indexable stat
explicit,Socketed Gems are Supported by Level # Blastchain Mine,stat_1710508327 indexable_support_23,indexable stat
explicit,Socketed Gems are Supported by Level # Bloodlust,indexable_support_117 stat_804508379,indexable stat
explicit,Socketed Gems are Supported by Level # Bonechill,stat_1859244771 indexable_support_115,indexable stat
explicit,Socketed Gems are Supported by Level # Brutality,stat_715256302 indexable_support_114,indexable stat
explicit,Socketed Gems are Supported by Level # Burning Damage,stat_2680613507 indexable_support_68,indexable stat
explicit,Socketed Gems are Supported by Level # Cast when Damage Taken,stat_3036440332 indexable_support_112,indexable stat
explicit,Socketed Gems are Supported by Level # Chain,indexable_support_107 stat_2643665787,indexable stat
explicit,Socketed Gems are Supported by Level # Chance to Poison,stat_228165595 indexable_support_54,indexable stat
explicit,Socketed Gems are Supported by Level # Charged Mines,indexable_support_103 stat_1365328494,indexable stat
explicit,Socketed Gems are Supported by Level # Charged Traps,indexable_support_78 stat_479453859,indexable stat
explicit,Socketed Gems are Supported by Level # Close Combat,indexable_support_102 stat_694651314,indexable stat
explicit,Socketed Gems are Supported by Level # Cold Penetration,stat_1991958615 indexable_support_100,indexable stat
explicit,Socketed Gems are Supported by Level # Cold to Fire,stat_550444281 indexable_support_99,indexable stat
explicit,Socketed Gems are Supported by Level # Combustion,indexable_support_105 stat_1828254451 stat_961135393,indexable stat
explicit,Socketed Gems are Supported by Level # Concentrated Effect,stat_2388360415 indexable_support_98,indexable stat
explicit,Socketed Gems are Supported by Level # Controlled Blaze,indexable_support_162 stat_124226929,indexable stat
explicit,Socketed Gems are Supported by Level # Controlled Destruction,stat_3718597497 indexable_support_97,indexable stat
explicit,Socketed Gems are Supported by Level # Corrupting Cry,indexable_support_155 stat_3486166615,indexable stat
explicit,Socketed Gems are Supported by Level # Critical Strike Affliction,stat_2228279620 indexable_support_31,indexable stat
explicit,Socketed Gems are Supported by Level # Cruelty,indexable_support_136 stat_1679136,indexable stat
explicit,Socketed Gems are Supported by Level # Culling Strike,indexable_support_96 stat_1135493957,indexable stat
explicit,Socketed Gems are Supported by Level # Cursed Ground,indexable_support_145 stat_3998071134,indexable stat
explicit,Socketed Gems are Supported by Level # Deadly Ailments,indexable_support_94 stat_103909236,indexable stat
explicit,Socketed Gems are Supported by Level # Decay,indexable_support_92 stat_388696990,indexable stat
explicit,Socketed Gems are Supported by Level # Devour,indexable_support_152 stat_2820883532,indexable stat
explicit,Socketed Gems are Supported by Level # Efficacy,stat_3924539382 indexable_support_91,indexable stat
explicit,Socketed Gems are Supported by Level # Elemental Focus,stat_1169422227 indexable_support_90,indexable stat
explicit,Socketed Gems are Supported by Level # Elemental Proliferation,stat_2929101122 indexable_support_89,indexable stat
explicit,Socketed Gems are Supported by Level # Endurance Charge on Melee Stun,stat_3375208082 indexable_support_88,indexable stat
explicit,Socketed Gems are Supported by Level # Energy Leech,indexable_support_87 stat_799443127,indexable stat
explicit,Socketed Gems are Supported by Level # Eternal Blessing,indexable_support_143 stat_3062849155,indexable stat
explicit,Socketed Gems are Supported by Level # Excommunicate,indexable_support_169 stat_1385879224,indexable stat
explicit,Socketed Gems are Supported by Level # Exemplar,indexable_support_171 stat_3370631451,indexable stat
explicit,Socketed Gems are Supported by Level # Expert Retaliation,indexable_support_164 stat_3570337997,indexable stat
explicit,Socketed Gems are Supported by Level # Faster Attacks,stat_928701213 indexable_support_86,indexable stat
explicit,Socketed Gems are Supported by Level # Faster Casting,stat_2169938251 indexable_support_85,indexable stat
explicit,Socketed Gems are Supported by Level # Feeding Frenzy,stat_2269282877 indexable_support_83,indexable stat
explicit,Socketed Gems are Supported by Level # Fire Penetration,stat_3265951306 stat_1979658770 indexable_support_82,indexable stat
explicit,Socketed Gems are Supported by Level # Fist of War,indexable_support_129 stat_2419657101,indexable stat
explicit,Socketed Gems are Supported by Level # Flamewood,stat_285773939 indexable_support_154,indexable stat
explicit,Socketed Gems are Supported by Level # Focused Ballista,indexable_support_138 stat_921536976,indexable stat
explicit,Socketed Gems are Supported by Level # Focused Channelling,stat_1948535732 indexable_support_165,indexable stat
explicit,Socketed Gems are Supported by Level # Fortify,stat_107118693 indexable_support_79,indexable stat
explicit,Socketed Gems are Supported by Level # Fresh Meat,indexable_support_153 stat_3713917371,indexable stat
explicit,Socketed Gems are Supported by Level # Frigid Bond,stat_3031999964 indexable_support_159,indexable stat
explicit,Socketed Gems are Supported by Level # Generosity,stat_2593773031 indexable_support_77,indexable stat
explicit,Socketed Gems are Supported by Level # Greater Multiple Projectiles,indexable_support_1 stat_359450079,indexable stat
explicit,Socketed Gems are Supported by Level # Greater Volley,stat_2223565123 indexable_support_75,indexable stat
explicit,Socketed Gems are Supported by Level # Guardian's Blessing,indexable_support_157 stat_3434296257,indexable stat
explicit,Socketed Gems are Supported by Level # Hex Bloom,indexable_support_146 stat_3199084318,indexable stat
explicit,Socketed Gems are Supported by Level # Hextouch,indexable_support_95 stat_2697741965,indexable stat
explicit,Socketed Gems are Supported by Level # High-Impact Mine,indexable_support_22 stat_2116100988,indexable stat
explicit,Socketed Gems are Supported by Level # Hypothermia,stat_13669281 indexable_support_74,indexable stat
explicit,Socketed Gems are Supported by Level # Ice Bite,stat_1384629003 indexable_support_73,indexable stat
explicit,Socketed Gems are Supported by Level # Ignite Proliferation,stat_3593797653 indexable_support_72,indexable stat
explicit,Socketed Gems are Supported by Level # Immolate,stat_2420410470 indexable_support_71,indexable stat
explicit,Socketed Gems are Supported by Level # Impale,indexable_support_70 stat_1900098804,indexable stat
explicit,Socketed Gems are Supported by Level # Impending Doom,stat_3227145554 indexable_support_133,indexable stat
explicit,Socketed Gems are Supported by Level # Increased Area of Effect,stat_3720936304 indexable_support_69,indexable stat
explicit,Socketed Gems are Supported by Level # Increased Critical Strikes,stat_2259700079 indexable_support_66,indexable stat
explicit,Socketed Gems are Supported by Level # Infernal Legion,stat_2201102274 indexable_support_61,indexable stat
explicit,Socketed Gems are Supported by Level # Infused Channelling,indexable_support_13 stat_4048257027,indexable stat
explicit,Socketed Gems are Supported by Level # Innervate,stat_1106668565 indexable_support_60,indexable stat
explicit,Socketed Gems are Supported by Level # Inspiration,stat_749770518 indexable_support_24 stat_1866911844,indexable stat
explicit,Socketed Gems are Supported by Level # Intensify,stat_28821524 stat_1792524915 indexable_support_16 stat_1876637240,indexable stat
explicit,Socketed Gems are Supported by Level # Iron Grip,stat_251446805 indexable_support_59,indexable stat
explicit,Socketed Gems are Supported by Level # Iron Will,stat_906997920 indexable_support_58,indexable stat
explicit,Socketed Gems are Supported by Level # Item Rarity,stat_3587013273 indexable_support_57,indexable stat
explicit,Socketed Gems are Supported by Level # Knockback,stat_4066711249 indexable_support_56,indexable stat
